Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,2020-06-30 00:00:00,2021-06-30 00:00:00,2022-06-30 00:00:00,2023-06-30 00:00:00,2024-06-30 00:00:00,
,,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,2020,2021,2022,2023,2024,2025.0
,Skin Care,2060,,,,1807,,,,,,,,9902,8249,7908,
,Makeup,1136,,,,1035,,,,,,,,4670,4532,4470,
,Fragrance,575,,,,557,,,,,,,,2491,2451,2487,
,Hair Care,143,,,,126,,,,,,,,631,652,629,
,Other,26,,,,25,,,,,,,,43,26,114,
,Revenue,3940,,,,3550,,,,,,14294,16215,17737,15910,15608,
,COGS,1107,,,,889,,,,,,3552,3834,4305,4564,4424,
,Gross Profit,2833,,,,2661,,,,,,10742,12381,13432,11346,11184,
,SG&A,2284,,,,2258,,,,,,8637,9371,9888,9575,9521,
,Operating Income,549,,,,403,,,,,,2105,3010,3544,1771,1663,
,Interest Income,-87,,,,-87,,,,,,-167,-167,-167,-255,-378,
,Pretax Income,462,0,0,0,316,,,,,,1938,2843,3377,1516,1285,
,Taxes,151,,,,82,,,,,,350,456,628,387,363,
,Net Income,311,0,0,0,234,,,,,,1588,2387,2749,1129,922,
,EPS,0.8619733924611973,,,,0.6474820143884893,,,,,,4.328154810575088,6.482889733840304,7.533570841326391,3.1282903851482406,2.555432372505543,
,Shares,360.8,,,,361.4,,,,,,366.9,368.2,364.9,360.9,360.8,
,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,2280,3631,3040,1731,2360,
,,,,,,,,,,,,623,637,1040,1003,919,
,,,,,,,,,,,,1657,2994,2000,728,1441,894.6666666666666
