Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Q3 2009: Wilson plant reinspection.,,,,,
,May 2009: Acquires EBEWE Pharma for $1.3bn.,,,,,
,Geneva/Apothecon acquisitions in the 90s?,,,,,
,Eon Labs,,,,,
,,,,,,
,Omnitrope,,,,,
,Binocrit (epoetin alfa),,,,,
,Zarzio (filgrastim),,,,,
,,,,,,
,,Q109,Q209,Q309,Q409,Q110
,tacrolimus (Q1 2010),,,,,82.9
,lansoprazole (Q1 2010),,,,,
,oxaliplatin (Q1 2010),,,,,
,metaxalone (Q1 2010?),,,,,
,,,,,,
,amoxicillin,230.3,210.9,286.9,326.4,250.7
,metformin,222.618,231.2,239.7,246.7,246.4
,lisinopril,,,,,145.6
,alprazolam,,,,,134.5
,cefdinir,,,,,110.1
,azithromycin,,,,,78
,lansoprazole,,,,,77.2
,,,,,,
,Pipeline,,,,,
,Cancidas (MRK),,,,,
,Lyrica (PFE),,,,,
,Crestor (AZN) - Judge Farnan,,,,,
,Nuvigil (CEPH),,,,,
,Niaspan (ABT),,,,,
