Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,Hycroft Mining Holding (HYMC),,,,,,,,,,,Price,4.39,
,  3/14/22: 27.9m financing,,,,,,,,,,,Shares,153.0,Q322
,,,,,,,,,,,,MC,671.67,
,2029 $950m first lien at 7.5% issued on 2/14/22,,,,,,,,,,,Cash,705.8,Q322
,AMC4267538 5.75% 6/15/2025 trading at 69.04 (20%). $98m left outstanding.,,,,,,,,,,,Debt,5325.3,Q322
,,,,,,,,,,,,EV,5291.17,
,CEO: Adam Aron. 1.25m salary. 6m bonus for 2021.,,,,,,,NCMI stock,,,,,,
,CFO: Sean Goodman 675k salary. 1.6m bonus for 2021.,,,,,,,,,,,,,
,"IR: John Merriwether, 866-248-3872",,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,CEO: Adam Aron,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1935,"Senior Secured Credit Facility-Term Loan due 2026 (4.199% as of June 30, 2022)",,,,,,,,,,,,
,505.6,"10.75% in Year 1, 11.25% thereafter Cash/PIK Odeon Term Loan Facility due 2023 (£147.6 million and €312.2 million par value as of June 30, 2022)",,,,,,,,,,,,
,950,7.5% First Lien Notes due 2029,,,,,,,,,,,,
,1435.5,10%/12% Cash/PIK/Toggle Second Lien Subordinated Notes due 2026,,,,,,,,,,,,
,311.4,10%/12% Cash/PIK/Toggle Second Lien Subordinated Notes due 2026,,,,,,,,,,,,
