Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,FQ221,FQ321,FQ421,FQ122,FQ222,FQ322,FQ422,FQ123
,,2020-07-31 00:00:00,2020-10-30 00:00:00,2021-01-30 00:00:00,2021-04-30 00:00:00,2021-07-31 00:00:00,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00
,Direct,,,,328,,,,401
,Indirect,,,,661,,,,769
,,,,,,,,,
,Design,,,,865,,,,1004
,Make,,,,81,,,,103
,Other,,,,43,,,,63
,,,,,,,,,
,Americas,,,,391,,,,484
,EMEA,,,,383,,,,449
,Asia Pacific,,,,215,,,,237
,,,,,,,,,
,"Media, Entertainment, Other",58.699999999999996,60.1,67.1,64,68.9,71.3,93,81
,Manufacturing,185.5,194.1,236.1,197,207.7,225,246,225
,AutoCAD,271.9,278.8,286.5,285,304.4,318.4,345.1,346
,"Architecture, Engineering, Construction",397,419.4,449.5,443,478.7,511.1,527.5,518
,,,,,,,,,
,Subscription,841.2,884.4,950.3,927,1016.7,1070.7,1121.5,1089
,Maintenance,51.2,39.8,30.2,19,16.9,17.6,22.7,18
,Other,20.7,28.2,58.7,43,26.1,37.5,67.4,63
,Revenue,913.1000000000001,952.4,1039.2,989,1059.7,1125.8,1211.6000000000001,1170
,COGS,73.5,76.10000000000001,82.1,82,91.8,92.5,98.8,103
,Gross Profit,839.6000000000001,876.3,957.1,907,967.9000000000001,1033.3,1112.8000000000002,1067
,M&S,350.9,359.3,388.8,377,398.8,419.4,427.8,419
,R&D,232.5,233,249.6,266,276.9,282.1,290.3,289
,G&M,93.2,98.8,117.1,112,119.4,112.8,227.6,120
,Operating Costs,676.6,691.0999999999999,755.5,755,795.1,814.3,945.7,828
,Operating Income,163.0000000000001,185.20000000000005,201.60000000000002,152,172.80000000000007,219,167.10000000000014,239
,Interest,-17.1,-11.9,-13.3,-3,-9.3,-5.9,-35.3,-19
,Pretax Income,145.90000000000012,173.30000000000004,188.3,149,163.50000000000006,213.1,131.80000000000013,220
,Taxes,30.8,23.9,0,0,23.2,50.7,18,49
,Net Income,115.10000000000012,149.40000000000003,188.3,149,140.30000000000007,162.39999999999998,113.80000000000013,171
,EPS,0.5180018001800186,0.6720647773279353,0.8462921348314607,0.6711711711711712,0.6305617977528093,0.7298876404494381,0.5144665461121163,0.7808219178082192
,Shares,222.2,222.3,222.5,222,222.5,222.5,221.2,219
,,,,,,,,,
,Revenue y/y,,,,,0.16055196583068665,0.1820663586728266,0.16589684372594315,0.18301314459049545
,Gross Margin,0.9195049830248604,0.9200965980680386,0.9209969207082371,0.917087967644085,0.913371708974238,0.9178362053650737,0.9184549356223176,0.911965811965812
,,,,,,,,,
,Cash,,,,,,,,1624
,AR,,,,,,,,384
,Prepaids,,,,,,,,389
,PP&E,,,,,,,,162
,Lease,,,,,,,,303
,Goodwill,,,,,,,,4121
,DT,,,,,,,,759
,LTOA,,,,,,,,519
,Assets,,,,,,,,8261
,,,,,,,,,
,AP,,,,,,,,135
,Compensation,,,,,,,,220
,Taxes,,,,,,,,121
,DR,,,,,,,,3749
,Lease,,,,,,,,424
,Debt,,,,,,,,2629
,OL,,,,,,,,302
,SE,,,,,,,,681
,L+SE,,,,,,,,8261
,,,,,,,,,
,Model NI,,,,,,,,171
,Reported NI,,,,,,,,146
,D&A,,,,,,,,38
,SBC,,,,,,,,152
,DT,,,,,,,,-22
,Asset Impairments,,,,,,,,2
,Other,,,,,,,,27
,WC,,,,,,,,91
,CFFO,,,,,,,,434
,,,,,,,,,
,Investments,,,,,,,,173
,CapEx,,,,,,,,-12
,Acquisitions,,,,,,,,-100
,Other,,,,,,,,-30
,CFFI,,,,,,,,31
,,,,,,,,,
,Issuance,,,,,,,,67
,ESOP Taxes,,,,,,,,-70
,Buybacks,,,,,,,,-457
,CFFF,,,,,,,,-460
,FX,,,,,,,,-15
,CIC,,,,,,,,-10
,,,,,,,,,
,RPO,,,,,,,,4683
,Current RPO,,,,,,,,3142
