Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
,,2024,2025,2026,2027,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,Phase II,Phase III,Phase III,Approval,800.0,2500.0,5500.0,7000.0,9000.0,9450.0,9922.5,10418.625,10939.55625,11486.5340625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,,,,,160.0,500.0,1100.0,1400.0,1800.0,1890.0,1984.5,2083.725,2187.91125,2297.3068125000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Profit,,,,,640.0,2000.0,4400.0,5600.0,7200.0,7560.0,7938.0,8334.9,8751.645,9189.22725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SG&A,,,,,2000.0,1500.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,-500,-500,-500,-500,-1360.0,500.0,3400.0,4600.0,6200.0,6560.0,6938.0,7334.9,7751.645,8189.22725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,,,0.0,340.0,920.0,1240.0,1312.0,1387.6000000000001,1466.98,1550.3290000000002,1637.84545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,-500,-500,-500,-500,-1360.0,500.0,3060.0,3680.0,4960.0,5248.0,5550.4,5867.92,6201.316000000001,6551.3818,6223.81271,5912.6220745,5616.990970774999,5336.141422236249,5069.334351124437,4815.867633568215,4575.074251889804,4346.320539295314,4129.004512330548,3922.5542867140207,3726.4265723783196,3540.1052437594035,3363.099981571433,3194.944982492861,3035.197733368218,2883.437846699807,2739.2659543648165,2602.3026566465755,2472.1875238142466,2348.5781476235343,2231.1492402423573,2119.5917782302395,2013.6121893187274,1912.931579852791,1817.2850008601513,1726.4207508171437,1640.0997132762864,1558.094727612472,1480.1899912318484,1406.1804916702558,1335.871467086743,1269.0778937324058,1205.6239990457855,1145.342799093496,1088.0756591388213,1033.6718761818802,981.9882823727861,932.8888682541467,886.2444248414394,841.9322035993673
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NPV,24209.42128016358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Discount,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maturity,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Share,232.7828969246498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
