Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Name,Indication,Phase,MOA,Economics,IP,,,,Price,19.67,
,plozasiran,FCS,III,,,,,,,Shares,124.315274,Q224
,fazirsiran,AATD,III,,TAK,,,,,MC,2445.28143958,
,zodasiran,Dyslipidemia,II,,,,,,,Cash,436.771,Q224
,olpasiran,CVD,III,,AMGN,,,,,Debt,0.0,Q224
,ARO-ENAC2,CF,Failed,,,,,,,EV,2008.5104395800001,
,ARO-RAGE,Asthma,I,,,,,,,,,
,ARO-MUC5AC,,Failed?,MUC 5AC,,,,,,CEO: Christopher Anzalone,,
,ARO-MMP7,IPF,Failed?,,,,,,,,,
,ARO-INHBE,Obesity,I,,,,,,,,,
,ARO-IAV,Influenza A,,,,,,,,,,
,ARO-DUX4,,,FSMD,,,,,,,,
,ARO-SOD1,,,,,,,,,,,
,ARO-TSLP,,,,,,,,,,,
,ARO-CFB,Nephrology,I,Complement Factor B,,,,,,,,
,ARO-DM1,DM1,I,DMPK,,,,,,,,
,ARO-ALK7,Obesity,I,,,,,,,,,
,ARO-HSD,NASH,,,GSK,,,,,,,
,JNJ-3989,HBV,,,JNJ,,,,,,,
,ARO-XDH,Gout,,,AMGN,,,,,,,
,ARO-C3,PNH,I,C3,,,,,,,,
,JNJ-75220795,NASH,,,,,,,,,,
,ARO-DUX4,FSHD,,,,,,,,,,
