Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
,,Q419,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0
,Ingrezza Rx,,,,,,,,,,,,68600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ingrezza,238,231,268,254,241,231,267,289,304,303,350,376,405,415,439.7,486,500,506,579.5,613,615,620,625,630,635,,,,,,409.6,752.9,993.1,1081.9,1427.8,1836.0,2313.5,2429.175,2550.6337500000004,2678.1654375000007,2812.073709375001,2952.677394843751,3100.3112645859383,3255.3268278152354,,,,,,,,,
,Ongentys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,8.2,,,,,,,,,,,,,,,,,,,
,Crenessity,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,10.0,20.0,30.0,40.0,50.0,60.0,70.0,,,,,,,,,
,Product,237.9,231.1,267.6,254.1,241.3,231,266.8,288.8,303.5,305,352,379.3,404.6,415.3,446.3,491.8,507.2,509,583.8,616.6,621.2,,,,,,,,0.0,116.6,409.6,752.9,994.1,1090.1000000000001,1440.9,1860.6000000000001,2330.6000000000004,2439.175,2570.6337500000004,2708.1654375000007,2852.073709375001,3002.677394843751,3160.3112645859383,3325.3268278152354,,,,,,,,,
,Elagolix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.3,19.2,22.3,,,,,,,,,,,,,,,,,,,
,Royalty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,21.2,18.6,19.53,,,,,,,,,,,,,,,
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.9,32.6,21.1,13.1,24.6,17.1,,,,,,,,,,,,,,,,
,Collab,6.2,6,34.8,4.4,6.6,5.6,22.1,7.2,8.5,5.6,26.2,8.6,7.4,5.1,6.4,7,7.4,6.3,6.4,5.5,6.5,,,,,,,,,,41.6,35.2,51.8,43.400000000000006,5.5,5.3,6.1,57.99999999999999,0.0,0.0,41.6,76.80000000000001,128.60000000000002,172.00000000000003,,,,,,,,,
