Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,acoustic model,"Used in TTS, predicts acoustic features. Tacotron 2 and FastSpeech 2 are examples. Input transcript is one feature, but prosody and linguistic feature can be another. Phoneme-level prosodies, word-level prosodies and hierarchical prosodies. Syntactic graph, word embeddings. L1, L2 loss assumes distribution of the acoustic feature is unimodal, but the real distribution is much more complex. Normalizing flow is an approach (FlowTTS, GlowTTS). Txt2vec (self-supervised VQ acoustic feature vs. mel spectrogram).",,,,,,,,,,,,,,,,,,
,activation function,"the final calculation of a neuron's weights and biases. Examples include sigmoid, tanh, ReLU, GeLU, etc.",,,,,,,,,,,,,,,,,,
,active learning,paradigm where the learner interacts with the environment at training time,,,,,,,,,,,,,,,,,,
,ADALINE,linear model (adaptive linear element),,,,,,,,,,,,,,,,,,
,adaptive learning rate,MelGAN,,,,,,,,,,,,,,,,,,
,ADM,Ablated diffusion model,,,,,,,,,,,,,,,,,,
,adversarial training,,,,,,,,,,,,,,,,,,,
,AI2,Allen Institute open language model,,,,,,,,,,,,,,,,,,
,anthropic principle,"The ""observation selection effect"" suggests that the range of observations we could make is limited by the fact that observations could only happen in a universe capable of developing intelligent life in the first place. The universe has properties that accomodate life because we wouldn't be around to make observations otherwise. There are more than 30 forms of anthropic principles. Weak states the unvierse's tuning is due to selection/survivorship bias. Strong anthropic principle considers the universe compelled to eventually have conscious and sapient life emerge within it. Participatory anthropic principle by Wheeler suggests the universe must be observed. Final AP suggests the universe's structure as expressible by bits of information.",,,,,,,,,,,,,,,,,,
,AP,aperiodic parameter used in speech synthesis,,,,,,,,,,,,,,,,,,
,attention,Connects related words using dot products between word vectors,,,,,,,,,,,,,,,,,,
,autoencoder,"An RL algorithm which combines encoder and decoder. Autoencoders try to preserve information, but create new representations with useful properties. Undercomplete, regularized.",,,,,,,,,,,,,,,,,,
,AutoModel,Huggingface library for loading pretrained models,,,,,,,,,,,,,,,,,,
,autoregressive,,,,,,,,,,,,,,,,,,,
,AutoTokenizer,Huggingface tool,,,,,,,,,,,,,,,,,,
,backpropagation,Hinton algorithm for neural networks. Did not live up to high expectations in the 1980s.,,,,,,,,,,,,,,,,,,
,bagging,,,,,,,,,,,,,,,,,,,
,Bard,,,,,,,,,,,,,,,,,,,
,batch normalization,DL technique which improved gradient propagation.,,,,,,,,,,,,,,,,,,
,"batch size, head (number)","3M-6M, 1.5M-3M",,,,,,,,,,,,,,,,,,
,Bayesian networks,,,,,,,,,,,,,,,,,,,
,beam search decoding,,,,,,,,,,,,,,,,,,,
,belief state,a set of possible worlds,,,,,,,,,,,,,,,,,,
,BERT,"Bidirectional (encoder representations from) transformer powers Google Search, succeeded Transformers. Base tool had 110m parameters, 12 attention heads, 768 hidden nodes, 12 layers. BERT-large had 24 layers, 1024 hidden nodes, 16 attention heads and 340m parameters.",,,,,,,,,,,,,,,,,,
,BERT-Large,,,,,,,,,,,,,,,,,,,
,bidirectional LSTM (BiLSTM),BiLSTM processes both forward and backward directions simultaneously using forward and backward pass.,,,,,,,,,,,,,,,,,,
,BLEU,machine translation scoring method,,,,,,,,,,,,,,,,,,
,BlLOOM,Language models by Hugging Face,,,,,,,,,,,,,,,,,,
,BoolQ,NLP test,,,,,,,,,,,,,,,,,,
,BOSS,CMU car which won DARPA Urban Challenge,,,,,,,,,,,,,,,,,,
,bottom-up tokenization,simple statistics of letter sequences break up words into subword tokens,,,,,,,,,,,,,,,,,,
,brightness normalization,"technique mentioned by Krizhevsky, Sutskever and Hinton in 2012 ImageNet paper",,,,,,,,,,,,,,,,,,
,byte-pair encoding,a bottom-up tokenization algorithm,,,,,,,,,,,,,,,,,,
,Caffe,ML framework,,,,,,,,,,,,,,,,,,
,Caltech-101/256,Early database of labeled images,,,,,,,,,,,,,,,,,,
,CB,NLP test,,,,,,,,,,,,,,,,,,
,Chincilla,"Compute-optimal LLM, 70B parameters",,,,,,,,,,,,,,,,,,
,CIFAR,,,,,,,,,,,,,,,,,,,
,CIFAR-10/100,Early database of labeled images,,,,,,,,,,,,,,,,,,
,classification,typical ML goal,,,,,,,,,,,,,,,,,,
,classifier,"ML technique decides whether input belongs in class A or B. (in LLMs): Abbreviated CLS, begins tokenizing.",,,,,,,,,,,,,,,,,,
,Claude,Anthropic LLM,,,,,,,,,,,,,,,,,,
,clitic,"in linguistics, a part of a word that can't stand on its own; a contraction such as what're or we're",,,,,,,,,,,,,,,,,,
,clustering,canonical ML task of partitioning a set into homogeneous subsets,,,,,,,,,,,,,,,,,,
,CLVP,Contrastive Language-Voice Pretraining. Compares autoregressive samples vs CLVP to find the best candidates.,,,,,,,,,,,,,,,,,,
,CNTK,ML framework,,,,,,,,,,,,,,,,,,
,code switching,"in linguistics, changing languages in the same utterance",,,,,,,,,,,,,,,,,,
,cognitive science,similar to neuroscience?,,,,,,,,,,,,,,,,,,
,Cognitron,early neuron network,,,,,,,,,,,,,,,,,,
,Common Crawl,,,,,,,,,,,,,,,,,,,
,configurator,"In Le Cun's model, a module which performs executive control. Given a task to be executed, it preconfigures the perception module.",,,,,,,,,,,,,,,,,,
,connectionism,1980s movement also known as parallel distributed processing emphasized distributed representation,,,,,,,,,,,,,,,,,,
,constrained,,,,,,,,,,,,,,,,,,,
,contrast normalization,,,,,,,,,,,,,,,,,,,
,contrastive loss,,,,,,,,,,,,,,,,,,,
,Convolutional Neural Networks,"Also known as convnets, invented by Le Cun in the 1980s. Based on persistent states that gather information layer-by-layer. They have fewer connections and parameters than standard NNs, and are easier to train.",,,,,,,,,,,,,,,,,,
,CoQa,Stanford question answering dataset. https://stanfordnlp.github.io/coqa/,,,,,,,,,,,,,,,,,,
,cosine schedule,learning rate decay for training,,,,,,,,,,,,,,,,,,
,cosine similarity function,compares word embeddings using Euclidean norm in unit spheres,,,,,,,,,,,,,,,,,,
,cost function,,,,,,,,,,,,,,,,,,,
,CUDA,"Launched in 2007 by Nvidia, a programming interface for GPUs.",,,,,,,,,,,,,,,,,,
,Cyc,old knowledge base AI approach. Used CycL language. Demonstrates flaws of knowledge base approach.,,,,,,,,,,,,,,,,,,
,D_model,"Output of every sublayer of transformer architecture, 512 in original Google paper.",,,,,,,,,,,,,,,,,,
,Daedalus,,,,,,,,,,,,,,,,,,,
,DALL-E,,,,,,,,,,,,,,,,,,,
,DART,DARPA logistics program,,,,,,,,,,,,,,,,,,
,Davinci,Early OpenAI model,,,,,,,,,,,,,,,,,,
,decision boundary,separation hyperplane used in SVM classification,,,,,,,,,,,,,,,,,,
,decision tree,Became a rival method to kernel methods in the 2000s-2010s. Methods include random forest.,,,,,,,,,,,,,,,,,,
,decoder,"Decoder constructs the output sequence based on the vector received from the encoder. In transformers, the decoder produces text sequences and has the multi-headed attention layer, add and norm layers, feed-forward layers, and a linear layer with proabilities of output. In representational learning, and in general, decoders convert encoded representations back into their original formats.",,,,,,,,,,,,,,,,,,
,Deep Blue,"IBM chess playing program, defeated Kasparov in 1997",,,,,,,,,,,,,,,,,,
,DeepMind,Google-owned NN company,,,,,,,,,,,,,,,,,,
,deep belief network,trained by greedy layer-wise pre-training,,,,,,,,,,,,,,,,,,
,deep learning,"Deep learning is a subgroup of machine learning that allows representations to be composed of other, simpler representations. The quintessential example is the feedforward deep network, or multilayer perceptron.",,,,,,,,,,,,,,,,,,
,deep neural networks,,,,,,,,,,,,,,,,,,,
,DENDRAL,Mass spectrometry program for predicting compounds in 1969.,,,,,,,,,,,,,,,,,,
,dense layer,a fully connected layer,,,,,,,,,,,,,,,,,,
,depthwise separable convolution,DL technique which improved gradient propagation.,,,,,,,,,,,,,,,,,,
,differentiable,can compute gradient estimates of some objective function with respect to its own input and propagate to upstream modules,,,,,,,,,,,,,,,,,,
,DiffSVC,Diffusion probabilistic model for SVC,,,,,,,,,,,,,,,,,,
,diffusion model,"Also known as diffusion probabilistic models, a class of latent variable models which outperform GANs. Also known as denoising diffusion models or score-based generative models. Diffusion models are parameterized Markov chains using two processes: forward diffusion and parametrized reverse. The forward diffusion process passes randomly sample noise with Gaussian noise and then reverses through the ""learned denoising process"". Diffusion models map latent space using a fixed Markov chain, which adds noise. Training a diffusion model requires finding reverse Markov transitions that maximize the likelihood of the training data. Diffusion models scale well to large datasets for image synthesis.",,,,,,,,,,,,,,,,,,
,diffusion process,Data are progressively noised,,,,,,,,,,,,,,,,,,
,Diffwave,Neural-based vocoder,,,,,,,,,,,,,,,,,,
,dimensionality reduction,"Also known as manifold learning, a canonical ML task which transforms an initial representation into a lower-dimensional one with preserved properties",,,,,,,,,,,,,,,,,,
,disfluency,"includes broken-off word fragments, fillers and filled pauses",,,,,,,,,,,,,,,,,,
,DistBelief,framework,,,,,,,,,,,,,,,,,,
,distributed representation,"each input to a system should be represented by many features, and each feature should be involved in the representation of many possible inputs",,,,,,,,,,,,,,,,,,
,diversity loss,,,,,,,,,,,,,,,,,,,
,DreamFusion,Google text-to-3D,,,,,,,,,,,,,,,,,,
,dropout,Regularization method that limits overfitting by setting to zero a subset of features by multiplying them with a Bernoulli random variable.,,,,,,,,,,,,,,,,,,
,dualism,Cartesian idea that the mind is outside the laws of nature.,,,,,,,,,,,,,,,,,,
,echo state networks,,,,,,,,,,,,,,,,,,,
,ELMo,,,,,,,,,,,,,,,,,,,
,embedding,Tokens go from single integers to vectors of d_model dimensions using learned embeddings in the model,,,,,,,,,,,,,,,,,,
,empiricism,Francis Bacon and John Locke's movement held the senses are responsible for understanding,,,,,,,,,,,,,,,,,,
,encoder,Encodes text (or any input data) into a vector (or different representation) and transmits to the decoder.,,,,,,,,,,,,,,,,,,
,ensemble methods,,,,,,,,,,,,,,,,,,,
,ERM,Empirical Risk Minimization learning rules,,,,,,,,,,,,,,,,,,
,espeak,robotic TTS,,,,,,,,,,,,,,,,,,
,Euclidean norm,vector distance from origin,,,,,,,,,,,,,,,,,,
,expert system,"see knowledge base. A rule-based system for determining answers, an older AI methodology",,,,,,,,,,,,,,,,,,
