Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,2020.0,2021.0,2022.0,2023.0,2024.0
,Beverages,,,,24786.0,24598.0
,Water,,,,3320.0,3180.0
,Milk/Ice Cream,,,,10981.0,10397.0
,Nutrition,,,,15278.0,15137.0
,PetCare,,,,18860.0,18882.0
,Prepared Dishes,,,,11666.0,10711.0
,Confectionary,,,,8107.0,8449.0
,Revenue,84343.0,87088.0,94424.0,92998.0,91354.0
,COGS,,,,57740.0,55871.0
,Gross Profit,,,,35258.0,35483.0
,M&A,,,,17549.0,18112.0
,R&D,,,,1656.0,1667.0
,Operating Expenses,,,,19205.0,19779.0
,Operating Income,,,,16053.0,15704.0
,Interest Income,,,,-1360.0,-1485.0
,Pretax Income,,,,14693.0,14219.0
,Taxes,,,,1194.0,2065.0
,Net Profit,,,,13499.0,12154.0
,EPS,,,,,
,Shares,,,,,
,,,,,,
,FCF,10245.0,8715.0,6570.0,10403.0,10666.0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Organic Growth,,,,0.072,0.022
,Gross Margin,,,,0.37912643282651237,0.3884121111281389
,,,,,,
,,,,,,
,PPE,,,,30467.0,33706.0
