Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Name,Indication,Economics,MOA,Approved,,,,,,Price,42.57,
,Cabometyx (cabozantinib),RCC,,TKI,,,,,,,Shares,272.70828,Q125
,Cometriq (cabozantinib),,,TKI,,,,,,,MC,11609.1914796,
,,,,,Phase,,,,,,Cash,1650.757,Q125
,zanzalintinib,,,TKI,,,,,,,Debt,0,Q125
,CBX-12 (exetecan),,,Topo,,,,,,,EV,9958.4344796,
,ADU-1805,,,SIRPalpha,,,,,,,,,
,XB002,,,TF ADC,,,,,,,,,
,XL102,,,CDK7,,,,,,,CEO,Michael Morrissey,
,XB010,,,,,,,,,,,,
,XB014,,,,,,,,,,,,
,XB628,,,,,,,,,,,,
