Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,Construction,,,,,,,,,,Price,325.0,
,Asphalt pavers,,,,,,,,,,Shares,477.932024,Q424
,Backhoe Loaders,,,,,,,,,,MC,155327.90780000002,
,Cold Planers,,,,,,,,,,Cash,6889.0,Q424
,Compactors,,,,,,,,,,Debt,8610.0,Q424
,Compact Track Loaders,,,,,,,,,,EV,157048.90780000002,
,Forestry Machines,,,,,,,,,,,,
,Material Handlers,,,,,,,,,,,,
,Motor Graders,,,,,,,,,,Founder,1925.0,
,Pipelayers,,,,,,,,,,,,
,Road Reclaimers,,,,,,,,,,,,
,Skid Steer Loaders,,,,,,,,,,,,
,Telehandlers,,,,,,,,,,,,
,Track-type Loaders,,,,,,,,,,,,
,Track Excavators,,,,,,,,,,,,
,Wheel Excavators,,,,,,,,,,,,
,Wheel Roaders,,,,,,,,,,,,
,,,,,,,,,,,,,
,Resources,,,,,,,,,,,,
,Electric Rope Shovels,,,,,,,,,,,,
,Draglines,,,,,,,,,,,,
,Hydraulic Shovels,,,,,,,,,,,,
,Rotary Drills,,,,,,,,,,,,
,Hard Rock Vehicles,,,,,,,,,,,,
,Large Track-Type Tractors,,,,,,,,,,,,
,Large Mining Trucks,,,,,,,,,,,,
,Large Wheel Loaders,,,,,,,,,,,,
,Off-Highway Trucks,,,,,,,,,,,,
,Wide-body Trucks,,,,,,,,,,,,
,Articulated Trucks,,,,,,,,,,,,
,Wheel Tractor Scrapers,,,,,,,,,,,,
,Wheel Dozers,,,,,,,,,,,,
,Fleet Management,,,,,,,,,,,,
,Landfill Compactors,,,,,,,,,,,,
,Soil Compactors,,,,,,,,,,,,
,Machinery Components,,,,,,,,,,,,
,Articulated Trucks,,,,,,,,,,,,
