Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,abelian group,,,,,,,,,,
,affine space,,,,,,,,,,
,Bezout's Theorem,,,,,,,,,,
,binary field,,,,,,,,,,
,Birch and Swinnerton-Dyer conjecture,,,,,,,,,,
,BlockSci,,,,,,,,,,
,Chainquery,,,,,,,,,,
,characteristic,,,,,,,,,,
,chord-tangent method,,,,,,,,,,
,COMPRESSED PUBLIC KEYS,,,,,,,,,,
,continued fraction factorization method (CFRAC),,,,,,,,,,
,SPRNG,,,,,,,,,,
,DER,"Distinguished Encoding Rules - signature rules for r, s values",,,,,,,,,
,DES,"Data Encryption Standard, 1975.",,,,,,,,,
,differential forms,,,,,,,,,,
,Diffie-Hellman key exchange,,,,,,,,,,
,discriminant,,,,,,,,,,
,Dixon's factorization method,,,,,,,,,,
,double-and-add,,,,,,,,,,
,ECDSA,Elliptic Curve Digital Signature Algorithm. Used in every bitcoin transaction signature.,,,,,,,,,
,ellipse,conic section with the form e=ax^3,,,,,,,,,
,elliptic curve,Mathematical objects based on elliptic operations.,,,,,,,,,
,elliptic curve factorization method,,,,,,,,,,
,fault attack,nonce vulnerability,,,,,,,,,
,Fermat's last theorem,,,,,,,,,,
,field,"satisfies field axioms: two operations (usually termed multiplication and addition) satisfying group axioms, but the two operations are abelian and distributive.",,,,,,,,,
,finite fields,field with finite elements,,,,,,,,,
,Frobenius maps,,,,,,,,,,
,G,generator of a cyclic subgroup of the elliptic cuve group,,,,,,,,,
,Galois field,see finite field,,,,,,,,,
,Galois representation,,,,,,,,,,
,genus,"measures a curves complexity, or number of holes. For smooth projective curves over C, a sphere has genus 0, a torus has genus 1, any surface with g holes has genus g. For algebraic curves, genus can also be defined using differential forms or Riemann-Roch theory. An elliptic curve has genus 1. It's the simplest nontrivial class of curves that supports a group structure.",,,,,,,,,
,group,,,,,,,,,,
,Hasse's theorem,Total number of points is close to p + 1: | E(F_p) - (p + 1) | <= 2 sqrt(p),,,,,,,,,
,k,often used as the variable for nonce,,,,,,,,,
,L-function,Analogous to the Reimann zeta function but encodes data from reductions modulo p.,,,,,,,,,
