Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,Price GBP,1902.5,
,Electricity,,,,,,,Shares,1093.4,Q224
,SSEN Transmission,,,,,,,MC,20801.935,
,SSEN Distribution,,,,,,,Cash,0.0,Q224
,,,,,,,,Debt,10000.0,Q224
,Renewables,,,,,,,EV,30801.935,
,,,,,,,,,,
,Thermal,,,,,,,,,
,Thermal,,,,,,,,,
,Gas Storage,,,,,,,,,
,,,,,,,,,,
,Energy Customer Solutions,,,,,,,,,
,Business Energy,,,,,,,,,
,Airtricity,,,,,,,,,
,,,,,,,,,,
,Energy Markets,,,,,,,,,
,Enterprise,,,,,,,,,
,Neos Networks,,,,,,,,,
