NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Phases,Study Type
NCT06602258,A Study of E2814 With Concurrent Lecanemab Treatment in Participants With Early Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06602258,RECRUITING,Alzheimer's Disease,DRUG: E2814|DRUG: Lecanemab|DRUG: Placebo,Eisai Inc.,,PHASE2,INTERVENTIONAL
NCT05811442,Study of 50561 in Patients With Mild or Moderate Alzheimer's Disease,https://clinicaltrials.gov/study/NCT05811442,RECRUITING,Alzheimer's Disease,DRUG: 50561 high dose|DRUG: 50561 low dose|DRUG: Placebo,Beijing Joekai Biotechnology LLC,,PHASE2,INTERVENTIONAL
NCT06199037,Safety and Pharmacodynamics of SHR-1707 in Alzheimer's Disease Patients,https://clinicaltrials.gov/study/NCT06199037,RECRUITING,Alzheimer's Disease,DRUG: SHR-1707|DRUG: SHR-1707 placebo,"Shanghai Hengrui Pharmaceutical Co., Ltd.",,PHASE2,INTERVENTIONAL
NCT06141356,[18F]Florbetazine ([18F]92) for Beta Amyloid PET Imaging in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT06141356,RECRUITING,Alzheimer's Disease,DRUG: [18F]Florbetazine ([18F]92)|DRUG: [11C]PIB,Peking Union Medical College Hospital,,,OBSERVATIONAL
NCT05551741,A First in Human Study of IBC-Ab002 in Persons With Early Alzheimer's Disease (AD),https://clinicaltrials.gov/study/NCT05551741,ACTIVE_NOT_RECRUITING,Alzheimer's Disease,BIOLOGICAL: IBC-Ab002|OTHER: Placebo,Immunobrain Checkpoint,National Institute on Aging (NIA)|Alzheimer's Association,PHASE1,INTERVENTIONAL
NCT06964230,A Phase 2b/3 Clinical Study Evaluating T3D-959 in Mild-to-Moderate Alzheimer's Disease Subjects,https://clinicaltrials.gov/study/NCT06964230,NOT_YET_RECRUITING,Alzheimer's Disease,DRUG: T3D-959|OTHER: Placebo Comparator,"T3D Therapeutics, Inc.",,PHASE2|PHASE3,INTERVENTIONAL
NCT05476783,A Long Term Extension Study to Assess the Safety of TB006 in Participants With Alzheimer's Disease,https://clinicaltrials.gov/study/NCT05476783,TERMINATED,Alzheimer's Disease,DRUG: TB006,"TrueBinding, Inc.",,PHASE2,INTERVENTIONAL
NCT05681819,"Safety, Tolerability and Pharmacodynamics of SHR-1707 in Alzheimer's Disease Patients.",https://clinicaltrials.gov/study/NCT05681819,ACTIVE_NOT_RECRUITING,Alzheimer's Disease,DRUG: SHR-1707|DRUG: SHR-1707 placebo,"Shanghai Hengrui Pharmaceutical Co., Ltd.",,PHASE1,INTERVENTIONAL
NCT04926272,Amyloid-beta PET Imaging With 18F-92 in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT04926272,UNKNOWN,Alzheimer's Disease,DRUG: 18F-92,First Affiliated Hospital of Fujian Medical University,,PHASE2,INTERVENTIONAL
NCT04174287,Modeling the Relationships Between Functional Connectivity and Amyloid Deposition in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT04174287,UNKNOWN,Alzheimer's Disease,DRUG: F-18-AV45,Chang Gung Memorial Hospital,,PHASE2,INTERVENTIONAL
