Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Brand Name,Levaquin,,,,,,,,
,Generic Name,levofloxacin,,,,,,,,
,Administration,"Oral, IV",,,,,,,,
,Label,http://www.levaquin.com/levaquin/shared/pi/levaquin.pdf,,,,,,,,
,Mechanism,"Member of fluorouinolone class of antibacterial agents.  L-isomer of the racemate, ofloxacin, a quinolone antimicrobial agent.",,,,,,,,
,,Levofloxacin and other flouroquinolone antimicrobials inhibit bacterial topoisomerase IV and DNA gyrase (both are type 2 topoisomerases),,,,,,,,
,,"enzymes required for DNA replication, transcription, repair and recombination.  Acitivity against Gram+ & - in vitro",,,,,,,,
,IP,December 2010 expiration (June 2011). Court found MYL infringes on 12/23/2004.,,,,,,,,
,,"Approved 12/20/1996, Expires 12/20/10, Pediatric Exclusivity until June 20, 2011. 3 year PTR included.",,,,,,,,
,Economics,"Daiichi is the patent owner.  Marketed in Europe by SNY under Tavanic. US sales only, largely.",,,,,,,,
,Competition,"Trovafloxacin (Trovan by PFE?, gatifloxacin (Tequin by BMY)?, moxifloxacin (Avelox by Bayer)? Cipro (generic), Factive (OSCI), Ceftriaxone?(differnet class)",,,,,,,,
,Clinical Studies,,,,,,,,,
,,Phase III UTI n=1109 Levaquin vs Cipro,,,,,,,,
,,75.7% cure rate vs 75.2% for Cipro in mITT.,,,,,,,,
,,86.0% cure rate vs 89.2% for Cipro in evaluable population.,,,,,,,,
,,,,,,,,,,
,,Phase III cSSI n=390 Levaquin vs approved comparator,,,,,,,,
,,"84.1% cure rate vs 80.3% for comparator, SS not mentioned.",,,,,,,,
,,,,,,,,,,
,,2 Phase III – Community Acquired Pneumonia: 7-14 day Treatment Regimen,,,,,,,,
,,"Study 1 – n=590, unblinded randomized, 500mg levaquin a day for 7-14 days vs ceftriaxone IV 1-2mg / day followed by 500mg cefuroxime axetil twice a day for 7-14 days.",,,,,,,,
,,Patients were given erythromicyn (or doxycycline) if infection due to atypical pathogens was present,,,,,,,,
,,Clinical evaluation at day 5-7 and week 3-4 post therapy,,,,,,,,
,,"Clinical Success (cure plus improvement), efficacy was 95% for levofloxacin vs 83% in control group (superiority achieved).",,,,,,,,
,,"Study 2 – n=264, multi center, non comparative, 500mg IV or oral for 7 to 14 days.  Clinical success was 93%.",,,,,,,,
,,,,,,,,,,
,,"Phase III – Acute Bacterial Sinusitis – 5 day (750mg) and 10-14 (500mg) day Treatment n = 780, double blind, double randomized, prospective, multicenter",,,,,,,,
,,"Clinical Success – 91.4% (139/152) in 750mg group, 88.6% (132/149) in 500mg group at Test of Cure Visit. - comparison group",,,,,,,,
,,Antral tap results at test of cure (22 days post) were comparable between the 5 and 10 day group.,,,,,,,,
,,,,,,,,,,
,,Phase III – Community Acquired Pneumonia: 5 day treatment.  N=528. 750Mg (5 days) or 500mg (10 days) IV or Orally,,,,,,,,
,,"Clinical Success rate – 90.9% for 750mg, 91.1% for 500mg.",,,,,,,,
,,"31-38 days post enrollment – pneumonia observed in 7/151 patients from 750mg group, 2/147 from 500mg group, however it was not statistically significant due to low  n#",,,,,,,,
,,,,,,,,,,
,,Phase III – Nosocomial Pneumonia. N = 187,,,,,,,,
,,750mg IV followed by 750mg oral  for 7-15 days vs. IV imipenem/cilastatin (500-1000mg) every 6-8hrs daily ,,,,,,,,
,,followed by oral ciprofloxacin  (750mg ever 12 hrs) for total of 7-15 days.,,,,,,,,
,,Levofloxacin – 7 days IV avg,,,,,,,,
,,Comparator – 8 days IV avg,,,,,,,,
,,Clinical success rate was 58.1% for levaquin and 60.6% for comparator,,,,,,,,
,,Microbial eradication rates at post therapy visit were 66.7% for levaquin and 60.6% for comparator.,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Levaquin ,2000,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0
,US,,,,,,,,,
,ROW,,,,,,,,,
,Total,1089,1052.3,1032.2,1149.4,1296.0,1492.0,1529.0,1646.0,
