Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Brand Name,Sensipar/Mimpara,
,Generic Name,cinacalcet,
,Mechanism,"calcimimetic, reduces PTH and phosphorous",
,Indication,Secondary Hyperparathyroidism in Dialysis patients; parathyroid carcinoma,
,,"  ""There is much unrecognized parathyroidism. CKD patients are not always looking for the onset of this disease"".",
,Competition,"Zemplar, Hectorol",
,,  Sensipar gets PTH down while the vitamin D analogs do not? There are survival benefits associated with Vitamin D.,
,Efficacy,Reduces complications caused by uncontrolled bone mineral metabolism.,
,Price,4.9% increase in April,
,Commentary,"""Sensipar is still the new kid on the block, but Sensipar vs. Vitamin D is a therapeutic controversey. Many are using the two in combination.""",
,Reimbursement,"Oral dosing is a disadvantage as it is not separately billable in dialysis. However, there is Part D coverage.",
,IP,Paragraph 4 certified 6/2008. Filed 3/10/2008.,
,Clinical Studies,,
,,http://content.nejm.org/cgi/content/short/350/15/1516,
,,OPTIMA,
,,,
,,EVOLVE Phase III - Data in 2011,
,,n=3800 patients to assess mortality and cardiovascular morbidity in CKD patients?,
,,ESRD mortality study - Lipitor did not work in this patient population but there is reason to believe Sensipar will,
,,,vascular calcification occurs in these patients.
,,,
,,CRI study failed does not justify continuation,
