Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
,,,,,,2023-08-31 00:00:00,2023-11-30 00:00:00,,,2024-08-31 00:00:00,2024-11-30 00:00:00,,,,,2018-05-31 00:00:00,2019-05-31 00:00:00,2020-05-31 00:00:00,2021-05-31 00:00:00,2022-05-31 00:00:00,2023-05-31 00:00:00,2024-05-31 00:00:00,,,,,,,,
,,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,,,2018,2019,2020,2021,2022,2023,2024,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0
,North America,,,,,,5625,,,,5179,,,,,,,14484,17179,18353,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Footwear,,,,,,8607,,,,7655,,,,,,,23305,28021,29143,33135,,,,,,,,,
,Apparel,,,,,,3774,,,,3738,,,,,,,10953,12865,13567,13843,,,,,,,,,
,Equipment,,,,,,479,,,,544,,,,,,,1280,1382,1624,1727,,,,,,,,,
,Converse,,,,,,519,,,,429,,,,,,,1846,2205,2346,2427,,,,,,,,,
,Other,,,,,,10,,,,-12,,,,,,,19,65,30,85,,,,,,,,,
,Revenue,12687,13315,12390,12825,12939,13389,12429,12606,11589,12354,11807.55,11975.699999999999,,,36397,39117,37403,44538,46710,51217,51363,47726.25,,,,,,,
,COGS,7072,7604,7019,7230,7219,7417,6867,6972,6332,6965,,,,,20441,21643,21162,24576,25231,28925,,,,,,,,,
,Gross Profit,5615,5711,5371,5595,5720,5972,5562,5634,5257,5389,,,,,15956,17474,16241,19962,21479,22292,,,,,,,,,
,S&M,943,1102,923,1092,1069,1114,1011,1091,1226,1122,,,,,3577,3753,3592,3114,3850,4060,,,,,,,,,
,G&A,2977,3022,3036,3282,3047,3032,3215,2997,2822,2883,,,,,7934,8949,9534,9911,10954,12314,,,,,,,,,
,Operating Expenses,3920,4124,3959,4374,4116,4146,4226,4088,4048,4005,,,,,11511,12702,13126,13025,14804,16374,,,,,,,,,
,Operating Income,1695,1587,1412,1221,1604,1826,1336,1546,1209,1384,,,,,4445,4772,3115,6937,6675,5918,,,,,,,,,
,Interest Income,133,63,65,25,44,97,68,180,98,32,,,,,-120,29,-228,-276,-24,286,,,,,,,,,
,Pretax Income,1828,1650,1477,1246,1648,1923,1404,1726,1307,1416,,,,,4325,4801,2887,6661,6651,6204,,,,,,,,,
,Taxes,360,319,237,215,198,344,232,226,256,253,,,,,2392,772,348,934,605,1131,,,,,,,,,
,Net Income,1468,1331,1240,1031,1450,1579,1172,1500,1051,1163,,,,,1933,4029,2539,5727,6046,5073,,,,,,,,,
,EPS,0.9257157270778157,0.8464767234800304,0.7924335378323109,0.6624686757051983,0.939545130564375,1.0306115788786634,0.7677694071405176,0.9889892529834509,0.699733688415446,0.7805369127516778,,,,,1.1650895063588693,2.4894957983193278,1.595250062829857,3.5584689946563937,3.75341445244599,3.2316218626576636,,,,,,,,,
,Shares,1585.8,1572.4,1564.8,1556.3,1543.3,1532.1,1526.5,1516.7,1502,1490,,,,,1659.1,1618.4,1591.6,1609.4,1610.8,1569.8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,0.01986285173799951,0.005557641757416354,0.0031476997578692156,-0.01707602339181291,-0.10433572919081846,-0.07730226305175891,-0.050000000000000044,-0.050000000000000044,,,,0.07473143390938808,-0.04381726615026715,0.1907600994572627,0.04876734473932376,0.09648897452365657,0.0028506160064041275,-0.0708048595292331,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,0.44257901789233073,0.428914757791964,0.43349475383373687,0.43625730994152045,0.44207434886776414,0.44603779221749196,0.44750181028240404,0.4469300333174679,0.4536198118905859,0.4362149910960013,,,,,0.43838777921257244,0.4467111486054657,0.43421650669732376,0.44820153576721,0.4598372939413402,0.43524610969014194,0,0.0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,,,,,,,4955,5903,2485,6657,5188,5841,7429,,,,,,,,
,CapEx,,,,,,,,,,,,,,,1028,1119,1086,695,758,969,812,,,,,,,,
,FCF,,,,,,,,,,,,,,,3927,4784,1399,5962,4430,4872,6617,,,,,,,,
