Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Brand Name,"MK-524A, MK-524B (fixed combo of 524A with Zocor)",,,,,,,,
,Generic Name,laropiprant,,,,,,,,
,Mechanism,MK-524A: fixed combo of niacin XR with inhibitor of niacin flush pathway (prostaglandin D2 blocker). DP-1 selective inhibitor.,,,,,,,,
,Economics,100%,,,,,,,,
,Clinical Trials,,,,,,,,,
,,"HPS2-THRIVE: 20,000 patient study to begin in 2006 - 6/7/2006 - Completed Enrollment 5/2010 outcome study. Expect 20% increase in HDL.",,,,,,,,
,,,Niaspan 1g,Niaspan 2g,Tricor 145mg,MK-524A,Lipitor/CTEP,,,
,,LDL,0.07,0.16,0.21,,41-60%,,,10/2008 - >15k
,,HDL,0.14,0.22,0.11,20-25%,53-66%,,,
,,Tg,0.16,0.38,0.29,25-30%,18-31%,,,
,,,,,,,,,,
,,,,,,,,,,
,,"1% of statin patients are on niacin because of flushing. Patients still flush with -0524, just less.",,,,,,,,
,,58% of patients on niacin are already on a statin,,,,,,,,
,,"7.4% discontinued due to flushing vs 12.4% for extended-release niacin, p=0.002.",,,,,,,,
,,,,,,,,,,
,,Phase II ERN+0524 vs ERN alone.,,,,,,,,
,,n=272 vs 72 vs 68 placebo.,,,,,,,,
,,"10% had flushing days vs 35% for ERN alone and 1% for placebo. This decreased to 1%, 15% and 1% in week 8.",,,,,,,,
,,CK (creatine kinase) elevation of 10x ULN was 2.6% vs 1.4% for ERN alone and 1.5% for placebo. This is a biomarker of muscle injury.,,,,,,,,
