Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Brand Name,LY2140023,
,Generic Name,pomaglumetad methionil,
,Indication,Schizophrenia,
,Mechanism,Acts on mGlu2/3 protein in the brain,
,Clinical Trials,,
,,Phase II vs Zyprexa vs placebo n=196,
,,PANSS versus placebo: -20.8 for LY2140023 and -26.7 for Zyprexa.,
,,Response rate 32.0% for LY2140023 and 41.2% for placebo.,
,,,
,,Sept 2007 - Jan 2009,
,,4 weeks,
,,,"160mg, 2x80mg per day"
,,,
,,"Potential seizures, LLY is conducting monkey tox studies to determine if Phase III is warranted.",
