Main,Unnamed: 1,Unnamed: 2
,anti-Ro/SSA,Ro52 and Ro60
,anti-synthetase syndrome,"myositis, ILD, polyarthritis, fever"
,ARS,anti-tRNA synthetase antibodies. 8 known.
,ASS,"Anti-synthetase syndrome, rare autoimmune disease with ILD, arthritis and myositis"
,ATYR1923,HARS N-terminus iMod domain + Fc
,EJ,
,HRS,histidyl-tRNA synthetase
,Jo-1,histidyl-transfer RNA synthetase (tRNA synthetase). Anti-Jo-1 autoantibodies can cause ILD. Autoantibodies found in 15-25% of idiopathic inflammatory myopathy patients. 510 amino acids.
,PL7,
,PL12,
,Ro52,related to E3 ligase
,Ro60,RNA quality control
,SSA antigens,Ro52 and Ro60
