Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,Brand Name,Strattera,,,,
,,,,,,
,"Growth has stagnated, working on tweaking the message (highlight MOA, more upfront about late onset of action)",,,,,
,"Pediatric growth has stagnated, larger opportunity is adult market where LLY is investing DTC $.",,,,,
,EU launch in early 05 but EU is 10% of global mkt,,,,,
,,,,,,
,"8mm adults affected by ADD, 80-90% undiagnosed",,,,,
,Just 25-30% of scripts written for adults.,,,,,
,,,,,,
,2004-12-17 00:00:00,,,,,
,Relabeled for liver toxicity--bolded warning (2nd highest warning level),,,,,
,no monitoring required,,,,,
,"2 cases out of 2m, but probably underreported",,,,,
,,,,,,
,,2004,2005,2006,2007.0,2008.0
,UBS,660,810,,,1200.0
,,,,,,
,,Competition,SPD465,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,TRx,NRx,,
,Rx,2007-06-01 00:00:00,62826,31426,,
,,2007-05-25 00:00:00,69314,35541,,
,,2006-06-01 00:00:00,70448,34206,,
