Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104
,$USD,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Income,0,0,0,-9.199999999999996,-14.299999999999997,-16.6,1.6000000000000014,0.6000000000000085,-16.6,-4,3.299999999999997,6.59999999999998,10.791199999999996,24.337599999999995,29.853120000000004,38.04031999999999,,,-28.69999999999996,78.08000000000004,103.02224000000001,125.74628200000006,139.76376482000003,164.53238646820006,186.08334153288212,211.8309323882108,227.526977520093,78.78765236409396,64.47406939461487,63.60866413924899,64.09373618571027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest Income,,,,-7.5,-2.3999999999999995,20,1.7,-1.7,0,-1.1999999999999997,-1.8,0.6000000000000001,,,,,,,17.6,1.0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax Income,,,,-16.699999999999996,-16.699999999999996,3.3999999999999986,3.3000000000000016,-1.0999999999999914,-16.6,-5.199999999999999,1.4999999999999971,7.19999999999998,10.791199999999996,24.337599999999995,29.853120000000004,38.04031999999999,,,-11.099999999999959,79.08000000000004,103.02224000000001,126.74628200000006,141.76376482000003,167.53238646820006,190.08334153288212,216.8309323882108,233.526977520093,85.78765236409396,72.47406939461487,72.60866413924899,74.09373618571027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,,,,-3.5,-4.5,2.1,-0.2,0.7,-4.2,1.1,2.5,2.9,2.1582399999999993,4.867519999999999,5.970624000000001,7.608063999999998,,,-1.9000000000000001,11.862000000000005,20.604447999999998,19.01194230000001,21.264564723000003,25.12985797023001,28.512501229932315,32.52463985823162,35.02904662801395,12.868147854614094,10.87111040919223,10.891299620887347,11.11406042785654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,,,,-13.199999999999996,-12.199999999999996,1.2999999999999985,3.5000000000000018,-1.7999999999999914,-12.400000000000002,-6.299999999999999,-1.0000000000000029,4.299999999999979,8.632959999999997,19.470079999999996,23.882496000000003,30.432255999999988,,,-9.199999999999958,67.21800000000003,82.41779200000002,107.73433970000005,120.49920009700003,142.40252849797005,161.5708403029498,184.3062925299792,198.49793089207904,72.91950450947986,61.602958985422646,61.71736451836164,62.97967575785373,59.83069196996104,56.83915737146298,53.99719950288983,51.297339527745336,48.732472551358065,46.29584892379016,43.98105647760065,41.782003653720615,39.69290347103458,37.70825829748285,35.822845382608705,34.031703113478265,32.33011795780435,30.71361205991413,29.177931456918422,27.7190348840725,26.333083139868872,25.01642898287543,23.765607533731657,22.577327157045072,21.44846079919282,20.376037759233178,19.357235871271516,18.38937407770794,17.469905373822545,16.59641010513142,15.766589599874846,14.978260119881103,14.229347113887048,13.517879758192695,12.84198577028306,12.199886481768907,11.589892157680461,11.010397549796437,10.459877672306614,9.936883788691283,9.440039599256718,8.96803761929388,8.519635738329187,8.093653951412728,7.688971253842091,7.304522691149986,6.9392965565924865,6.592331728762862,6.262715142324719,5.949579385208483,5.652100415948058,5.369495395150655,5.101020625393122,4.845969594123466,4.603671114417293,4.373487558696428,4.154813180761606,3.947072521723526,3.7497188956373497,3.562232950855482,3.3841213033127078,3.2149152381470723,3.0541694762397187,2.9014610024277325,2.756387952306346,2.6185685546910284,2.4876401269564767,2.363258120608653,2.24509521457822,2.132840453849309,2.0261984311568435,1.9248885095990012,1.828644084119051,1.7372118799130984,1.6503512859174434,1.5678337216215712
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,0.4871794871794872,0.30823529411764694,0.3497267759562841,0.1214392803598201,0.1416256157635467,0.14640287769784166,0.11700404858299596,0.12197860962566853,0.09885652642934195,,,,,0.11809555854643339,0.0600935906926916,0.05024731469296384,0.08018930993534124,0.0653439373513438,0.07233923383159002,0.04304451781381324,-0.3423612502386163,-0.043579757939517294,0.004397885408187641,0.009442241498792692,,Maturity,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,0.8846153846153847,0.9058823529411765,0.8961748633879781,0.8755622188905547,0.9125615763546798,0.8489208633093526,0.8920377867746289,0.9090909090909092,0.8683926645091693,0.88,0.88,0.88,0.88,,,,0.9000000000000001,0.88,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8999999999999999,,Discount,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NPV,1051.6142792308772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,,,,,-7.647,-13.220999999999998,9.742,9.332999999999998,,,,,,,-17.302,-1.793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
