Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,Global Banking & Markets,,,,,,,,,,,,,Price,577.26,
,,Investment Banking,,,,,,,,,,,,Shares,312.039033,Q424
,,,Advisory,,,,,,,,,,,MC,180127.65218958,
,,,Equity underwriting,,,,,,,,,,,Cash,112000.0,Q424
,,,Debt underwriting,,,,,,,,,,,Debt,0.0,Q424
,,"FICC (FI, Currency, Commodities)",,,,,,,,,,,,EV,68127.65218958,
,,Equities,,,,,,,,,,,,,,
,,,"Intermediation - serve as principal/market maker for trading, including OTC",,,,,,,,,,,,,
,,,"Financing - prime brokerage, swaps",,,,,,,,,,,,,
,Asset & Wealth Management,,,,,,,,,,,,,,,
,,Funds,,,,,,,,,,,,,,
,,Private banking & lending,,,,,,,,,,,,,,
,,Equity investments,,,,,,,,,,,,,,
,,Debt investments,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Platform Solutions,,,,,,,,,,,,,,,
,,Consumer platforms,,,,,,,,,,,,,,
,,Transaction banking/other,,,,,,,,,,,,,,
