Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0
,Product,,,,,675,568,423,645,386,304,231,651.45,,,,,,,,,,1975.0,2350.0,2311.0,1572.45,,,,,,,,,
,Subscription,,,,,1600,1728,1647,1517,1382,1340,1551,1532.17,,,,,,,,,,4514.0,5736.0,6492.0,5805.17,,,,,,,,,
,Revenue,,,,,2275,2296,2070,2162,1768,1644,1782,2183.62,,,,,,,,,,6489.0,8086.0,8803.0,7377.62,,,,,,,,,
,COGS,,,,,578,555,527,657,479,485,502,611.4136000000001,,,,,,,,,,2094.0,2260.0,2317.0,,,,,,,,,,
,Gross Profit,,,,,1697,1741,1543,1505,1289,1159,1280,1572.2063999999998,,,,,,,,,,4395.0,5826.0,6486.0,,,,,,,,,,
,R&D,,,,,353,335,329,320,346,311,277,323.2,,,,,,,,,,998.0,1150.0,1337.0,,,,,,,,,,
,S&M,,,,,237,245,244,299,252,263,287,301.99,,,,,,,,,,926.0,1064.0,1025.0,,,,,,,,,,
,G&A,,,,,282,189,143,174,214,250,229,175.74,,,,,,,,,,732.0,784.0,788.0,,,,,,,,,,
,OpEx,,,,,872,769,716,793,812,824,793,800.9300000000001,,,,,,,,,,2656.0,2998.0,3150.0,,,,,,,,,,
,OpInc,,,,,825,972,827,712,477,335,487,771.2763999999997,,,,,,,,,,1739.0,2828.0,3336.0,,,,,,,,,,
,Interest,,,,,-30,-43,-65,43,-14,17,15,,,,,,,,,,,26.0,-87.0,-95.0,,,,,,,,,,
,Pretax,,,,,795,929,762,755,463,352,502,771.2763999999997,,,,,,,,,,1765.0,2741.0,3241.0,,,,,,,,,,
,Taxes,,,,,146,126,120,73,70,41,65,115.69145999999995,,,,,,,,,,130.0,419.0,465.0,,,,,,,,,,
,Net Income,,,,,649,803,642,682,393,311,437,655.5849399999997,,,,,,,,,,1635.0,2322.0,2776.0,,,,,,,,,,
,EPS,,,,,0.8288633461047255,1.0255427841634739,0.8199233716475096,0.8698979591836735,0.5,0.3946700507614213,0.5538656527249683,0.8309061343472747,,,,,,,,,,,,,,,,,,,,,,
,Shares,,,,,783,783,783,784,786,788,789,789,,,,,,,,,,771.0,778.0,783.25,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,-0.22285714285714286,-0.28397212543554007,-0.13913043478260867,0.010000000000000009,,,,,,,,,,,0.24610879950685782,0.08867177838238938,-0.16191980006815865,,,,,,,,,
,Gross Margin,,,,,0.745934065934066,0.7582752613240418,0.7454106280193237,0.6961147086031453,0.7290723981900452,0.7049878345498783,0.7182940516273849,0.72,,,,,,,,,,0.6773000462320851,0.720504575810042,0.7367942746790866,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Model NI,,,,,649,803,642,,393,311,437,,,,,,,,,,,,,,,,,,,,,,,
,Reported NI,,,,,619,877,639,,395,280,435,,,,,,,,,,,,,,,,,,,,,,,
,CFFO,,,,,844,388,521,,642,198,257,,,,,,,,,,,,,,,,,,,,,,,
,CapEx,,,,,22,14,23,,15,37,15,,,,,,,,,,,,,,,,,,,,,,,
,FCF,,,,,822,374,498,,627,161,242,,,,,,,,,,,,,,,,,,,,,,,
