Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,2022.0,2023.0,2024.0
,Postpaid,92232.0,98052.0,104118.0
,Prepaid,21366.0,21648.0,25410.0
,Customers,113598.0,119700.0,129528.0
,,,,
,Postpaid,45919.0,48692.0,52340.0
,Prepaid,9857.0,9767.0,10399.0
,Wholesale,5547.0,4782.0,3439.0
,Services,61323.0,63241.0,66178.0
,Equipment,17130.0,14138.0,14263.0
,Other,1118.0,1179.0,959.0
,Revenue,79571.0,78558.0,81400.0
,COGS+D&A,49857.0,43006.0,42572.0
,Gross Profit,29714.0,35552.0,38828.0
,SG&A,21607.0,21311.0,20818.0
,Operating Income,8107.0,14241.0,18010.0
,Interest,-3364.0,-3335.0,-3411.0
,Pretax Income,4743.0,10906.0,14599.0
,Taxes,556.0,2682.0,3373.0
,Net Income,4187.0,8224.0,11226.0
,,,,
,,,,
,,,,
,,,,
,,,,
,Adj FCF,7656.0,13586.0,17032.0
