Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,Brand,Indication,MOA,Economics,Phase,IP,,Price,4.0,,,,,,
,simufilam,Alzheimer's,"None, Garbage","100%, no one wants it",III,,,Shares,47.976166,Q324,,,,,
,,,,,,,,MC,191.904664,,,,,,
,,,,,,,,Cash,149.0,Q324,,,,,
,,,,,,,,Debt,0.0,Q324,,,,,
,,,,,,,,EV,42.904664,,,,,,
,,,,,,,,Cash/Share,3.105708780480708,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,7/17/24: Remi resigns,,,,,,,
,,,,,,,,,,,,,,,
,,Monday,November 18th,,,,,,,,,,,,
,,Tuesday,November 19th,,,,,,,18,,20.0,0.3,17.0,16.0
,,Wednesday,November 20th,,,,,,,14.4,,20.0,2.6,6.538461538461538,6.153846153846153
,,Thursday,November 21st,,,,,,,1.728,,,,6.800000000000001,6.4
,,Friday,November 22nd,,,,,,,,,,,6.800000000000001,6.4
,,Monday,November 25th,1,0.05263157894736842,0.04,0.05,,,,,,,,
,,Tuesday,November 26th,2,0.10526315789473684,0.04,0.09,,,,,,,,
,,Wednesday,November 27th,3,0.15789473684210525,0.04,0.13,,,,,,,,
,,Friday,November 29th,4,0.21052631578947367,0.04,0.17,,,,,,,,
,,Monday,December 2nd,5,0.2631578947368421,0.05,0.22000000000000003,,,,,,,,
,,Tuesday,December 3rd,6,0.3157894736842105,0.05,0.27,,,,,,,,
,,Wednesday,December 4th,7,0.3684210526315789,0.06,0.33,,,,,,,,
,,Thursday,December 5th,8,0.42105263157894735,0.06,0.39,,,,,,,,
,,Friday,December 6th,9,0.47368421052631576,0.08,0.47000000000000003,,,,,,,,
,,Monday,December 9th,10,0.5263157894736842,0.08,0.55,,,,,,,,
,,Tuesday,December 10th,11,0.5789473684210527,0.06,0.6100000000000001,,,,,,,,
,,Wednesday,December 11th,12,0.631578947368421,0.06,0.6700000000000002,,,,,,,,
,,Thursday,December 12th,13,0.6842105263157894,0.06,0.7300000000000002,,,,,,,,
,,Friday,December 13th,14,0.7368421052631577,0.06,0.7900000000000003,,,,,,,,
,,Monday,December 16th,15,0.7894736842105261,0.05,0.8400000000000003,,,,,,,,
,,Tuesday,December 17th,16,0.8421052631578945,0.04,0.8800000000000003,,,,,,,,
,,Wednesday,December 18th,17,0.8947368421052628,0.04,0.9200000000000004,,,,,,,,
,,Thursday,December 19th,18,0.9473684210526312,0.04,0.9600000000000004,,,,,,,,
,,Friday,December 20th,19,0.9999999999999996,0.04,1.0000000000000004,,,,,,,,
,,Monday,December 23rd,,,,,,,,,,,,
,,Tuesday,December 24th,,,,,,,,,,,,
,,Thursday,December 26th,,,,,,,,,,,,
,,Friday,December 27th,,,,,,,,,,,,
,,Monday,December 30th,,,,,,,,,,,,
,,Tuesday,December 31st,,,,,,,,,,,,
