Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,Brand Name,Natrecor,,,,,,,,,,,,,
,Generic Name,nesiritide,,,,,,,,,,,,,
,Mechanism,Human BNP - relaxes arterial and veinous tissue,,,,,,,,,,,,,
,Pharmacokinetics,"t1/2=18 mins, 2/3 AUC",,,,,,,,,,,,,
,Administration,IV,,,,,,,,,,,,,
,Label,http://www.natrecor.com/natrecor/assets/pdf/natrecor_pi.pdf,,,,,,,,,,,,,
,Indication,adCHF (acutely decompensated congestive heart failure),,,,,,,,,,,,,
,IP,"Approved 8/10/01, Composition patent",,,,,,,,,,,,,
,Side Effects,"In May 2005, the publication of two medical journal articles linking Natrecor to kidney problems higher death rates than standard heart failure treatments gave rise to a growing controversy about the safety of Natrecor.",,,,,,,,,,,,,
,Competition,nitroglycerin,,,,,,,,,,,,,
,Economics,100%?,,,,,,,,,,,,,
,Clinical Studies,,,,,,,,,,,,,,
,,10 clinical trials,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Q203,Q303,Q403,FY03,,,,,FY04,,,,,FY05
,,30,50,72,152,82.0,92.0,92.0,125.0,391,110.0,74.0,35.0,30.0,249
,,,,,,,,,,,,,,,
,,Q106: significant decline due to media coverage,,,,,,,,,,,,,
