Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,Brand,PTI-125,,,,,,,,,,,,,,
,Generic,simufilam,,,,,,,,,,,,,,
,Molecule,logP = 1.1,,,,,,,,,,,,,,
,Indication,Alzheimer's,,,,,,,,,,,,,,
,PK,"T1/2=4 hours, Cmax 1100ng/mL, 0.6 CSF ratio",,,,,,,,,,,,,,
,,10.3125,100mL,1031.25,,,,,,,,,,,,
,IP,"EP2488177A1, WO2010051476, US73231187",,,,,,,,,,,,,50.0,mg
,Clinical Trials,,,,,,,,Mild,,Moderate,,,,50000.0,ug
,,Phase IIb n=60 mild-to-moderate,,,,,,,Placebo,Simufilam,Placebo,Simufilam,,,50000000.0,ng
,,"50mg bid, 100mg bid, placebo",,,,,,CWS,36,39,41,39,,,0.35,plasma
,,,,,,,,ADAS-Cog11 Mean,11,11.2,31.5,27.9,,,17500000.0,unbound/free concentration
,,,,,,,,  Range,3-24,1-28,12-64,14-56,,,0.5,brain concentration
,,"Phase III ""RETHINK-ALZ"" - n=804 Alzheimer's 52 weeks - NCT04994483",,,,,,MMSE Mean,25.1,25.3,14.4,15.2,,,8750000.0,ng
,,100mg BID vs placebo. data by YE24,,,,,,  Range,21-30,21-30,5-20,4-20,,,8750.0,ug
,,,,,,,,,,,,,,,1250.0,ml - volume of brain
,,,,,,,,,,,,,,,300.0,ml - volume of brain vasculature
,,"Phase III ""REFOCUS-ALZ"" n=1100 Alzheimer's 76 weeks - NCT05026177",,,,,,,,,,,,,0.01,affinity nM
,,"50mg bid, 100mg bid, placebo",,,,,,,,,,,,,259.35,g/mol
,,,,,,,,,,,,,,,259350.00000000003,mg/mol
,,,,,,,,Pre-CWS,Mild,Moderate,,,,,259350000.00000003,ug/mol
,,Phase II n=220 -  NCT04388254,,,,,,n,133,83,,,,,3.3738191632928474e-05,umol simufilam
,,First posted: 5/11/2020,,,,,,ADAS-Cog11 Mean,15,25.7,,,,,3.3738191632928474e-08,nmol simufilam
,,n=157?,,,,,,ADAS-Cog11 Range,3-33,5-52,,,,,33.738191632928476,
,,,,,,,,MMSE Mean,23.8,17.8,,,,,25.0,T 1/2 = 4 hours
,,6 month change ADAS-Cog,,,,,,MMSE Range,21-30,10-20,,,,,,
,,100mg (n=78) -0.9 - NOT STATISTICALLY SIGNIFICANT,,,,0.6,,,,,,,,,,
,,placebo (n=77) -1.5,,,,,,Randomized,157,,,,,,,
,,Simufilam,19.3,18.400000000000002,-0.04663212435233155,0.8999999999999986,,Full Analysis Set,155,12.449899597988733,9.785621084019144,,,,,
,,Placebo,21.9,20.4,-0.06849315068493156,1.5,,Completers,133,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,CWS,MOD-SIMU,3,5.5,2.5,,,,,,,,,,,
,CWS,MOD-PBO,6.8,9.2,2.3999999999999995,,,1.5499999999999998,,1.5,,,,,,
,CWS,MILD-SIMU,-2,-2.0,0.0,,,,,,,,,,,
,CWS,MILD-PBO,-1.5,-0.2,1.3,1.5499999999999998,,,,4.8,1.7,,,,,
,CWS,,,,,,,,,3.9,1.5,,,,,
,CWS,SIMU,,,1.25,WORSE OVER 6 MONTHS,,0.6,,2.2,1.2,-1.9,,,,
,CWS,PBO,,,1.8499999999999996,WORSE OVER 6 MONTHS,,,,2.1,1.2,0.4,,,,
,,,,,,,,,,2,1,0.5,,,,
,1st 12MO,MOD-SIMU,0,3.0,3.0,,,,,1.8,0.8,0.8,,,,
,,MOD-PBO,0,6.8,6.8,,,,,,,,,,,
,,MILD-SIMU,0,-2.0,-2.0,AVERAGE,,,,,,,,,,
,,MILD-PBO,0,-1.5,-1.5,1.5750000000000002,3.0,,,,,,,,,
,,,,,,,,,,,,,,,,
,,SIMU,0,,1.0,,,,,,,,,,,
,,PBO,0,,5.3,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Last 6MO,MOD-SIMU,0,2.0,2.0,,1.55,,,,,,,,,
,,MOD-PBO,-0.1,1.0,1.1,,,,,,,,,,,
,,MILD-SIMU,5.5,11.0,5.5,,,,,,,,,,,
,,MILD-PBO,9.1,14.1,5.0,,3.4,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,https://cdn.clinicaltrials.gov/large-docs/03/NCT04079803/Prot_000.pdf,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,TRAILBLAZR - donanemab,,,,,,,,,,,,,,
,,27.6 mean combined cohort baseline,,,,,,,,,,,,,,
,,https://www.nejm.org/doi/full/10.1056/NEJMoa2100708,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Dimebon Phase II n=183,,,,,,,,,,,,,,
,,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(08)61074-0/abstract,,,,,,,,,,,,,,
,,Treatment with dimebon resulted in significant benefits in ADAS-cog compared with placebo (ITT-LOCF) at week 26,,,,,,,,,,,,,,
,,   (mean drug-placebo difference −4·0 [95% CI −5·73 to −2·28]; p<0·0001,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,2023 - Simufilam Reverses Aberrant Receptor Interactions of Filamin A in Alzheimer’s Disease,,,,,,,,,,,,,,
,,FRET study,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,2012 - First preclinical paper - Reducing Amyloid-Related Alzheimer’s Disease Pathogenesis by a Small Molecule Targeting Filamin A - Hoau-Yan Wang et al.,,,,,,,,,,,,,,
,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6621293/pdf/zns9773.pdf,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,"Stossel T, Condeelis J, Cooley L, HartwigJ, NoegelA,SchleicherM,ShapiroS (2001) Filamins as integrators of cell mechanics and signalling. Nat Rev Mol Cell Biol 2:138–145",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,"2008 - High-Affinity Naloxone Binding to Filamin A Prevents Mu Opioid Receptor–Gs Coupling Underlying Opioid Tolerance and Dependence - Hoau-Yan Wang et al., retracted",,,,,,,,,,,,,,
,,Purports that naloxone binds filamin A with 200x affinity vs. MOR,,,,,,,,,,,,,,
,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2212716/,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
