Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
,Brand Name,Avandia,,,,,,,,,,,,,,,,
,Clinical Trials,,,,,,,,,,,,,,,,,
,,Phase III RECORD published in Lancet 2009,,,,,,,,,,,,,,,,
,,14.5% events versus 14.5% for oral medications.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,DREAM,,,,,,,,,,,,,,,,
,,pre-diabetics -presented 9/10/2006 at EASD,,,,,,,,,,,,,,,,
,,62% reduction in the risk of developing diabetes vs placebo (31% for metformin and 58% for diet and exercise),,,,,,,,,,,,,,,,
,,small increased risk of heart failure and some weight gain,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,n=25000 Alzheimer's,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,ADOPT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,£ millions,1Q04A,2Q04A,3Q04A,4Q04A,1Q05A,2Q05A,3Q05A,4Q05A,1Q06A,,,,,2003.0,2004.0,2005.0,2006.0
,- USA,185,233,216,218,215,263,265,234,281,,,,,755.0,852.0,977.0,1170.0
,- Europe,21,24,27,29,32,39,40,46,51,,,,,68.0,101.0,157.0,230.0
,- RoW,31,49,41,40,40,50,50,55,52,,,,,106.0,161.0,195.0,240.0
