Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
,,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0
,Airplane Backlog,,,,,,,,410986.0,412307.0,,281588.0,296882.0,329824.0,440507.0,,,,,
,Defense Backlog,,,,,,,,44049.0,57166.0,,60847.0,59828.0,54373.0,59012.0,,,,,
,Services Backlog,,,,,,,,19605.0,21008.0,,20632.0,20496.0,19338.0,19869.0,,,,,
,,,,,,,,,,,,,,,,,,,,
,737 Cum. Firm Orders,,,,8413.0,9517.0,10105.0,10655.0,11345.0,12020.0,11837.0,10764.0,11159.0,11785.0,12860.0,,,,,
,737 Deliveries,,,,440.0,485.0,495.0,490.0,529.0,580.0,127.0,43.0,263.0,387.0,396.0,,,,,
,747 Deliveries,,,,24.0,19.0,18.0,9.0,14.0,6.0,7.0,5.0,7.0,5.0,1.0,,,,,
,767 Deliveries,,,,21.0,6.0,16.0,13.0,10.0,27.0,43.0,30.0,32.0,33.0,32.0,,,,,
,777 Deliveries,,,,98.0,99.0,98.0,99.0,74.0,48.0,45.0,26.0,24.0,24.0,26.0,,,,,
,787 Deliveries,,,,65.0,114.0,135.0,137.0,136.0,145.0,158.0,53.0,14.0,31.0,73.0,,,,,
,Total Deliveries,,,,648.0,723.0,762.0,748.0,763.0,806.0,380.0,157.0,340.0,480.0,528.0,,,,,
,,,,,,,,,,,,,,,,,,,,
,F/A-18,,,,48.0,44.0,35.0,25.0,23.0,17.0,23.0,20.0,21.0,14.0,22.0,,,,,
