Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Drug,Placebo,Unnamed: 6,Drug.1,Placebo.1
,Drug,Placebo,,Subgroup 1,Subgroup 1,,Subgroup 2,Subgroup 2
n,106,106,,53,53,,53,53
average,49.39622641509434,49.056603773584904,,48.75471698113208,53.886792452830186,,50.0377358490566,44.22641509433962
,,,,,,,,
,32,47,,,,,,
,15,39,,,,,,
,11,66,,,BONFERRONI CORRECTION,,,
,100,54,,,MULTIPLICITY CORRECTION/ADJUSTMENT,,,
,60,32,,,,,,
,44,74,,,,,,
,40,79,,,,,,
,76,39,,,,,,
,37,59,,,,,,
,41,45,,,,,,
,85,79,,,,,,
,50,67,,,,,,
,11,66,,,,,,
,76,47,,,,,,
,34,11,,,,,,
,25,71,,,,,,
,0,6,,,,,,
,47,3,,,,,,
,93,20,,,,,,
,100,76,,,,,,
,35,69,,,,,,
,93,47,,,,,,
,57,98,,,,,,
,84,12,,,,,,
,88,71,,,,,,
,49,89,,,,,,
,39,83,,,,,,
,14,84,,,,,,
,30,59,,,,,,
,9,59,,,,,,
,35,3,,,,,,
,36,37,,,,,,
,74,11,,,,,,
,30,59,,,,,,
,7,96,,,,,,
,75,30,,,,,,
,86,95,,,,,,
,12,27,,,,,,
,77,57,,,,,,
,38,63,,,,,,
,58,61,,,,,,
,28,65,,,,,,
,8,89,,,,,,
,43,47,,,,,,
,87,83,,,,,,
,90,0,,,,,,
,52,76,,,,,,
,18,85,,,,,,
,45,91,,,,,,
,88,54,,,,,,
,5,20,,,,,,
,17,22,,,,,,
,100,34,,,,,,
,93,75,,,,,,
,7,92,,,,,,
,39,97,,,,,,
,8,11,,,,,,
,54,9,,,,,,
,76,38,,,,,,
,52,8,,,,,,
,36,44,,,,,,
,94,38,,,,,,
,32,19,,,,,,
,79,21,,,,,,
,70,28,,,,,,
,18,42,,,,,,
,0,13,,,,,,
,8,24,,,,,,
,19,3,,,,,,
,15,13,,,,,,
,65,41,,,,,,
,79,58,,,,,,
,7,24,,,,,,
,30,8,,,,,,
,66,21,,,,,,
,96,32,,,,,,
,80,66,,,,,,
,28,30,,,,,,
,78,44,,,,,,
,68,87,,,,,,
,5,83,,,,,,
,1,99,,,,,,
,73,27,,,,,,
,65,50,,,,,,
,19,37,,,,,,
,0,85,,,,,,
,58,91,,,,,,
,39,58,,,,,,
,96,49,,,,,,
,40,15,,,,,,
,52,2,,,,,,
,43,28,,,,,,
,87,76,,,,,,
,98,64,,,,,,
,46,39,,,,,,
,32,70,,,,,,
,91,79,,,,,,
,68,17,,,,,,
,74,32,,,,,,
,26,70,,,,,,
,100,27,,,,,,
,31,49,,,,,,
,84,100,,,,,,
,45,60,,,,,,
,54,43,,,,,,
,28,8,,,,,,
