Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,Brand Name,"Olumiant, fka LY3009104/INCB28050",,,,,,,,,,,,
,Generic Name,baricitinib,,,,,,,,,,,,
,Indication,"Rheumatoid arthritis, Alopecia Areata",,,,,,,,,,,,
,Mechanism,JAK1/2 inhibitor,,,,,,,,,,,,
,Administration,Oral,,,,,,,,,,,,
,Competition,"RIGL, CHTP(?)",,,,,,,,,,,,
,Economics,"LLY, $139 million in milestones received to date",,,,,,,,,,,,
,,INCY could receive tiered double digit royalties.,,,,,,,,,,,,
,,INCY will pay for 30% of development expenses,,,,,,,,,,,,
,IP,"INCY discloses patent protection until 2026, but has not disclose structure or patent #.",,,,,,,,,,,,
,Clinical Trials,,,,,,,,,,,,,
,,"Phase III ""BRAVE-AA1""",,,,,,,,,,,,
,,17%-22% with 2mg qd and 32-35% with 4mg qd achieved 80% or more scalp hair coverage vs. 3-5% for placebo at 36 weeks.,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"Phase III ""BRAVE-AA2""",,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"Phase III ""BREEZE-AD""",,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"Phase IIb, n = 270",,,,,,,,,,,,
,,Primary endpoint is ACR20 at 12 weeks,,,,,,,,,,,,"Pfizer's CP-690,550 Phase IIa data"
,,"Fully enrolled as of October 27, 2011",,,,,,,,,,,,
,,"Dosing is 1,2,4,8 mg 9104 compared to PBO",,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"Phase IIa, n = 125",,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"mITT total population, 12 week result",,,,,,,,,,,,
,,,PBO,4 mg,7 mg,10 mg,,,,,,,,
,,,n = 31,n = 31,n = 32,n = 30,,,,,,,,
,,ACR20,0.32,0.52,0.59,0.53,,,,,,,,
,,ACR50,0.13,0.35,0.31,0.3,,,,,,,,
,,ACR70,0.03,0.16,0.09,0.1,,,,,,,,
,,,,,,,,,,,,,,
,,No major Aes.  There were dose related decreases in mean hemoglobin of 2 to 8%.,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,ACR2010,,,,,,,,,,,,
,,"Ph2a, n=125, to receive 4mg qd, 7mg qd or 10mg qd",,,,,,,,,,,,
,,primary endpt: % of pts achieving ACR20 thruout 24 Wks,,,,,,,,,,,,
,,"ACR responses improved over wks 12-24, w up to 72% of pts ACR20, 44% ACR50 & 30% ACR70 at Wk 24",,,,,,,,,,,,"CP-690,550 Phase IIb 24-week data"
,,"placebo pts: 32% ACR20, 13% ACR50 & 3% ACR70 at Wk 12",,,,,,,,,,,,12-week interim data at ACR 2008 suggests activity. 3mg active. 6 doses tested.
,,"INCB28050 pts: 59% ACR20, 35% ACR50 & 16% ACR70",,,,,,,,,,,,5 cases of liver tox at 15mg BID.
,,,,,,,,,,,,,,
,,"Phase III ""ACTT-2"" n=1033 COVID-19",,,,,,,,,,,,
,,bari+remdesivir vs. remdesivir,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,"Phase III ""COV-BARRIER"" n=1525 COVID-19",,,,,,,,,,,,
