Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
,     Worldwide,152,147,154,143,82.8,65.8,36.4,30,30.4,32.4,33.8,25.799999999999997,17.4,18,17.2,18,16.799999999999997,14.9,17.5,15.5,18.4,12.3,16,,596.0,215.0,122.39999999999999,70.6,64.69999999999999,,,
,Total MD&D ,1311,1360,1390.2,1445,1462.8000000000002,1529.5,1569.4,1573.8,1663.1000000000001,1527.3000000000002,1513.7000000000003,1531.1000000000001,1563.8,1543.8,1571.7,1598.2,1602.6,1669.9,1645.4,1800.3,2361.0000000000005,2378,2364.89,,5506.2,6135.500000000001,6235.200000000001,6277.5,6718.2,,,
,     International,1214,1220,1158,1183,1272.2000000000003,1254.5,1203,960.9,1294.9,1229.7,1212.6000000000001,1337.8,988.3999999999999,1486.5,1416.5,1646.9,1656.4,1722.6000000000001,1642.8000000000002,1934.8000000000002,2435.7000000000003,2477.5,2257.48,,4775.0,4690.6,5075.000000000001,5538.299999999999,6956.6,,,
,     Worldwide,2525,2580,2548.2,2628,2735.0000000000005,2784,2772.4,2534.7,2958,2756,2726.3,2868.9,2552.2,3030.3,2988.2,3245.1000000000004,3259,3392.5,3288.2000000000003,3735.1000000000004,4796.700000000001,4855.5,4622.37,,10281.2,10826.100000000002,11309.199999999999,11815.800000000001,13674.800000000001,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Legacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,,,,,,,,,,,,,,,,
,J&J Medical Systems,950,965,,,,494,,,,,,,,,,,,,,,,,,,,,,,,,,
,    U.S.,550,560,,,,261,,,,,,,,,,,,,,,,,,,,,,,,,,
,    International,400,405,,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IBOT Transporter,,,,,,,,,8,15,22,27,33,39,45,,,,,,,,,,,,,,,,,
,    U.S.,,,,,,,,,5,10,16,20,25,30,35,,,,,,,,,,,,,,,,,
,    International,,,,,,,,,3,5,6,7,8,9,10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Other Professional,97,114,111,200,204,,,,,50,41,40.400000000000006,41.940000000000005,43.63400000000001,45.49740000000001,,,,,,,,,,,,,,,,,
,    U.S.,81,21,21,53,105,,,,,32,27,25,25,25,25,,,,,,,,,,,,,,,,,
,    International,16,93,90,147,99,,,,,18,14,15.400000000000002,16.940000000000005,18.634000000000007,20.49740000000001,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total MD&D,6737,8068.190842631781,7359.420999999999,7430.25508,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    U.S.,3635,4378.217391304348,4041.401,3933.49083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,    International,3102,3689.9734513274334,3318.0199999999995,3496.7642499999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
