Main,Unnamed: 1,Unnamed: 2
,Brand Name,Rotateq
,Generic Name,"Rotavirus vaccine, live, oral, pentavalent"
,Indication,Prevention of rotavirus gastroenteritis.
,Administration,Oral
,Pricing,"VFC price $52/dose, 18% discount from list"
,Competition,GSK's Rotarix -- does ACIP find them interchangeable? Rotarix covers 5 serotypes?
,Model,"$60/dose X 3 doses X 4m US babies = $750m, ex-US opportunity should be just as big."
,Clinical Trials,
,,"n=71,000 3 Phase III studies"
,,2.4% SAE vs 2.6% for placebo.
,,"Reduced severe gastroenteritis by 98%, hospitalizations by 96%."
