Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Brand,Indication,Approval,MOA,,,Price,4.05,
,Amtagvi (lifileucel),2L+ Metastatic Melanoma,2024-02-16 00:00:00,Autologous,,,Shares,303.513872,Q224
,Proleukin,,,,,,MC,1229.2311816,
,,,Phase,,,,Cash,418.97200000000004,Q224
,IOV-4001,Melanoma,I,PD-1 inactivated TIL,,,Debt,1.0,Q224
,IOV-5001,,,IL-12 cell therapy,,,EV,811.2591815999999,
,IOV-3001,,,IL-2,,,,,
,,,,,,,PPE,110.96,Q224
,,,,,,,,,
,,,,,,,CEO: Fred Vogt,,
