Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,Name,Ticker,Price,MC,NC,EV,Update,SO,Last,NPV,Upside,ROIC,Terminal,Discount,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,Founded,Location
x,Oracle,ORCL,,,,,,,,,,,,,,,,,,,,,,,,,,
,Epic,Private,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iqvia,IQV,,,,,,,,,,,,,,,,,,,,,,,,,,
,Doximity,DOCS,43.86,8140,,,,,,,,,,,,,,,,,,,,,,,,
,Evolent,EVH,26.39,3069,,,,,,,,,,,,,,,,,,,,,,,,
,Hims and Hers,HIMS,38.9,9144.2050671,254.071,8890.1340671,Q324,235.069539,2025-02-03 00:00:00,,,,,,,,,,,,,,,,,,,
,Goodrx,GDRX,2640,2640,,,,,,,,,,,,,,,,,,,,,,,,
,Clover Health,CLOV,4.13,2060,,,,,,,,,,,,,,,,,,,,,,,,
,Teladoc,TDOC,11.05,1902.44228915,-297.4079999999999,2199.85028915,Q324,172.166723,2024-12-09 00:00:00,,,,,,,,,,,,,,,,,,,
,Progyny,PGNY,15.77,1420,,,,,,,,,,,,,,,,,,,,,,,,
,Veradigm,MDRX,9.23,994,,,,,,,,,,,,,,,,,,,,,,,,
,HealthStream,HSTM,28.91,879,,,,,,,,,,,,,,,,,,,,,,,,
,Accolade,ACCD,3.75,302,,,,,,,,,,,,,,,,,,,,,,,,
,American Well,AMWL,10.16,152,,,,,,,,,,,,,,,,,,,,,,,,
,GoHealth,GOCO,9.55,218,,,,,,,,,,,,,,,,,,,,,,,,
