Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
,Brand Name,Herceptin,
,Generic Name,trastuzumab,
,Indication,"HER2+ breast cancer (neoadjuvant, adjuvant, metastatic)",
,Price,"2.75% increase on 10/1/08, 2.75% increase on 4/1/08.",
,Clinical Trials,,
,,Phase III GBG-26,
,,Showed positive results of keeping Herceptin on board post-progression.,
,,,
,,"Phase III ""GeparQuattro"" neoadjuvant study n=1510",
,,,
,,"Phase III ""NOAH"" neoadjuvant study",
,,,
,,"Phase III ""TECHNO"" neoadjuvant study""",
,,,
,,"Phase III ""TOGA"" in HER2+ gastric cancer stopped early Q109",
,,16.0m vs 11.8m OS for high levels of HER2.,
,,,
,,"Phase III ""COIN""",
,,,
,IMS,,
,,2007-11-01 00:00:00,109.0
,,2007-10-01 00:00:00,110.0
