Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Name,Indication,Class,Approved,Economics,IP,Admin,,Price,65.72,
,Jakafi (ruxolitinib),"Myelofibrosis, GvHD",JAK1/2,2011-11-16 00:00:00,NVS Ex-US,2026-2028,Oral,,Shares,192.598027,Q224
,Monjuvi/Minjuvi (tafasitamab),DLBCL,CD19,,MOR,mab,IV,,MC,12657.54233444,
,Olumiant (baricitinib),Alopecia Areata,JAK,2018-05-31 00:00:00,LLY,,Oral,,Cash,1549.043,Q224
,Tabrecta (capmatinib),NSCLC,c-Met,2020-05-06 00:00:00,NVS,,Oral,,Debt,0.0,Q224
,Iclusig (ponatinib),CML,Bcr-Abl,,TAK US,,Oral,,EV,11108.49933444,
,Pemaryze (pemigatinib),cholangiocarcinoma,FGFR1/2/3,2020-04-17 00:00:00,1,,,,,,
,Zynyz (retifanlimab),anal cancer,PD-1,2023-03-22 00:00:00,MGNX,,IV,,,,
,Opzelura (ruxolitinib),Vitiligo,JAK1/2,2022-07-18 00:00:00,100%?,,Cream,,CEO: Herve Hoppenot,,
,,,,Phase,,,,,HemOnc Clinical Development: Lance Leopold,,
,parsaclisib,"AIHA, FL, MF",PI3Kdelta,III,1,,Oral,,CMO: Steven Stein,,
,INCB57643,Myelofibrosis,BET,II,1,,Oral,,"Group VP, Oncology: Peter Langmuir",,
,INCB00928,Myelofibrosis,ALK2,II,1,,Oral,,,,
,povorcitinib (INCB54707),"HS, Vitiligo, PN",JAK1,II,1,,Oral,,,,
,itacitinib,GvHD,JAK1,,1,,Oral,,,,
,axatilimab,GvHD,CSF-1R,II,SNDX,,IV,,,,
,INCB86550,Oncology,PD-L1,I,1,peripheral neuropathy - deprioritized/cancelled,,,,,
,INCB99318,Oncology,PD-L1,I,1,,,,,,
,INCB99280,Oncology,PD-L1,I,1,,,,,,
,INCB000262,CSU/CIU/AD,MRGPRX2,II,,,,,,,
,INCB000547,Cholestatic pruritis,MRGPRX4,II,,,,,,,
,INCB123667,Oncology,CDK2,I,1,,,,,,
,INCB81776,Oncology,AXL/MER,,,,,,,,
,auremolimab,Vitiligo,IL-15betaR,IND,1,,,,,,
,epacadostat,Oncology,IDO1,,,,,,,,
,INCB161734,,KRAS G12D,I,,,,,,,
,INCB106385,Oncology,A2A/A2B,,,,,,,,
,INCAGN2385,Oncology,LAG-3 mab,,AGEN,,,,,,
,INCAGN1949,Oncology,OX40 mab,,AGEN,,,,,,
,INCAGN2390,Oncology,TIM-3 mab,,AGEN,,,,,,
,INCA00186,Oncology,CD73 mab,,AGEN,,,,,,
,INCA32459,Oncology,LAG-3/PD-1,,Merus,,,,,,
,INCAGN1876,Oncology,GITR mab,,AGEN,,,,,,
,CK0804,Myelofibrosis,CB-Tregs,,Cellenkos,,,,,,
,,,,,,,,,,,
,,,,,,7/18/22: Opzelura approve for vitiligo.,,,,,
,,,,,,7/12/22: Q2 earnings date.,,,,,
,,,,,,6/13/22: Olumiant approved for alopecia areata.,,,,,
,,,,,,6/13/22: CT collaboration with PFE TTI-622 and Monjuvi,,,,,
,,,,,,5/26/22: EHA preview,,,,,
,,,,,,5/24/22: investor conference,,,,,
,,,,,,5/20/22: CHMP recommends Olumiant for AA,,,,,
,,,,,,5/11/22: Olumiant approved for COVID-19,,,,,
,,,,,,5/5/22: EC approves Jakavi for post-steroid GvHD,,,,,
,,,,,,5/4/22: investor conference,,,,,
,,,,,,5/3/22: Q122 results.,,,,,
,,,,,,,,,,,
,,,,,,9/2008: INCB18424 Psoriasis Phase II data presented.,,,,,
,,,,,,October 24-29 2008: ACR presentation of 424 in second dose group.,,,,,
,,,,,,YE08: 424 results in HRPC/Multiple Myeloma,,,,,
,,,,,,YE08: INCB7839 combination with Herceptin Phase II results.,,,,,
,,,,,,YE08: 424 results in myelofibrosis at ASH.,,,,,
,,,,,,Early 2009: INCB19602 Phase II proof-of-concept data in diabetes.,,,,,
,,,,,,"Nov 2009: partner ex-US rights for '424 in cancer with NVS, and ww rights to INCB28060 in all indications (w right to co-develop & co-promote in US)",,,,,
,,,,,,Dec 2009: partner ww rights for INCB28050 with LLY for inflam and autoimmune diseases,,,,,
,,,,,,Jan 2010: initiate European Ph3 trial of '424 ,,,,,
,,,,,,July 2010: INCY opts to co-develop INCB28050 in RA (and retains option to co-promote in US),,,,,
,,,,,,Oct 2010: LLY initiatesPh2b of INCB28050 in RA,,,,,
,,,,,,Oct 2010: Initiate Ph3 trial of '424 in polycythemia vera ,,,,,
,,,,,,"Nov 10, 2010: Ph2a data of INCB28050 in RA presented ACR",,,,,
,,,,,,"Dec 20, 2010: Positive topline data reported for COMFORT-1 of '424 in myelofibrosis, NDA to be filed in Q211",,,,,
,,,,,,H111: submit NDA for ruxolitinib in MF,,,,,
,,,,,,H111: results from COMFORT-1 Ph3 US trial in MF,,,,,
,,,,,,late 2011: launch ruxolitinib in MF,,,,,
,,,,,,2011: NVS to present results from COMFORT-II Ph3 EU trial and submit MAA for MF,,,,,
,,,,,,late 2011: complete enrollment in joint global Ph3 RESPONSE trial in PV,,,,,
