Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,Name,Indication,MOA,Phase,Economics,,,,,,,,Price,20.25,
,XmAb942,Autoimmune,TL1A,,,,,,,,,,Shares,61.83353,Q224
,plamotamab,Autoimmune,CD20xCD3,,JNJ returned,,,,,,,,MC,1252.1289825000001,
,XmAb657,Autoimmune,CD19xCD3,,,,,,,,,,Cash,657.0529999999999,Q224
,XmAb819,RCC,ENPP3xCD3,,,,,,,,,,Debt,19.26,Q224
,XmAb808,Oncology,B7-H3xCD28,,,,,,,,,,EV,614.3359825000002,
,vudalimab,mCRPC,PD-1xCTLA-4,,,,,,,,,,,,
,XmAb564,Autoimmune,IL2-Fc,,,,,,,,,,,,
,JNJ-9401,,PSMAxCD28,,,,,,,,,,,,
,JNJ-1493,,CD20xCD28,,,,,,,,,,,,
,XmAb662,Oncology,IL12-Fc,,,,,,,,,,,,
,XmAb541,Ovarian,CLDN6xCD3,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CEO: Bassil Dahiyat,,
,,,,,,,11/7/23: OMERS acquires royalties on Ultomiris & Monjuvi,,,,,,,,
