Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00,,,
,,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425
,Japan,,,,,,,163365,,,,169414,,,,,,,,,
,Americas,,,,,,,120765,,,,161880,,,,,,,,,
,China,,,,,,,79996,,,,91537,,,,,,,,,
,EMEA,,,,,,,44339,,,,52524,,,,,,,,,
,Asia/LatAm,,,,,,,36589,,,,37817,,,,,,,,,
,OTC,,,,,,,18715,,,,18710,,,,,,,,,
,API,,,,,,,101554,,,,14316,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Lenvima US,,,,,24400,26900,31300,33800,38500,41700,43000,,,,,,,,,
,Humira JP,,,,,,,38700,,,,37500,,,,,,,,,
,Lenvima CH,,,,,,,28400,,,,27400,,,,,,,,,
,Dayvigo JP,,,,,,,8600,,,,18100,,,,,,,,,
,Fycompa US,,,,,,,10800,,,,14100,,,,,,,,,
,Methycobal CH,,,,,,,10000,,,,12000,,,,,,,,,
,Halaven US,,,,,,,10400,,,,11000,,,,,,,,,
,Lenvima JP,,,,,,,7700,,,,10600,,,,,,,,,
,Methycobal JP,,,,,,,8200,,,,8200,,,,,,,,,
,Halaven JP,,,,,,,6300,,,,6500,,,,,,,,,
,Elental JP,,,,,,,5200,,,,5500,,,,,,,,,
,Jyseleca JP,,,,,,,900,,,,5300,,,,,,,,,
,Goofice JP,,,,,,,4600,,,,5100,,,,,,,,,
,Fycompa JP,,,,,,,4100,,,,4700,,,,,,,,,
,Pariet JP,,,,,,,5500,,,,4500,,,,,,,,,
,Movicol JP,,,,,,,3700,,,,4400,,,,,,,,,
,Banzel US,,,,,,,6200,,,,3700,,,,,,,,,
,Dayvigo US,,,,,,,2700,,,,3600,,,,,,,,,
,Aricept JP,,,,,,,5600,,,,3400,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Revenue,,,,,198900,163500,202925,190900,184300,174400,187497,,,,,,,,,
,COGS,,,,,,,124093,,,,139272,,,,,,,,,
,Gross Profit,,,,,,,78832,,,,48225,,,,,,,,,
,SG&A,,,,,,,256162,,,,272970,,,,,,,,,
,R&D,,,,,,,123278,,,,121403,,,,,,,,,
,Operating Expenses,,,,,,,379440,,,,394373,,,,,,,,,
,Operating Income,,,,,,,-300608,,,,-346148,,,,,,,,,
,Interest Income,,,,,,,13242,,,,5038,,,,,,,,,
,Pretax Income,,,,,,,-287366,,,,-341110,,,,,,,,,
,Taxes,,,,,,,15599,,,,0,,,,,,,,,
,Net Income,,,,,,,-302965,,,,-341110,,,,,,,,,
,EPS,,,,,,,,,,,-1188.5365853658536,,,,,,,,,
,S/O,,,,,,,,,,,287,,,,,,,,,
