Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,2021.0,2022.0,2023.0,2024.0,2025.0
,IB,14136.0,7360.0,6218.0,7738.0,
,Investment Management,8171.0,9005.0,9532.0,10596.0,
,Commissions,3590.0,4034.0,3789.0,4086.0,
,Market Making,15357.0,18634.0,18238.0,18390.0,
,Other Principal,11615.0,654.0,2126.0,4646.0,
,Net Interest,6470.0,7678.0,6351.0,8056.0,
,Revenue,59339.0,47365.0,46254.0,53512.0,
,Credit Losses,357.0,2715.0,1028.0,1348.0,
,Compensation,17719.0,15148.0,15499.0,16706.0,
,Transactions,4710.0,5312.0,5698.0,6724.0,
,Market Development,553.0,812.0,629.0,646.0,
,Communications/Tech,1573.0,1808.0,1919.0,1991.0,
,Occupancy,981.0,1026.0,1053.0,973.0,
,Professional,1648.0,1887.0,1623.0,1652.0,
,Other,2739.0,2716.0,3210.0,2683.0,
,Operating Expenses,30280.0,31424.0,30659.0,32723.0,
,Operating Income,29059.0,15941.0,15595.0,20789.0,
,Taxes,5409.0,2225.0,2223.0,4121.0,
,Net Income,23650.0,13716.0,13372.0,16668.0,
,EPS,66.4699269252389,38.30215023736386,38.669751301330244,49.96402877697842,
,Shares,355.8,358.1,345.8,333.6,
,,,,,,
,Net Cash,,,,112.02900000000011,
,Cash,,,,366.60600000000005,
,Securities for Resale,,,,180.062,
,Securities Borrowed,,,,194.645,
,Receivables,,,,133.717,
,Trading Assets,,,,570.555,
,Loans,,,,196.2,
,Other,,,,34.187,
,Assets,,,,1675.972,
,,,,,,
,Deposits,,,,433.013,
,Securities for Repurchase,,,,274.38,
,Securities Loaned,,,,84.21000000000001,
,Customer payables,,,,223.255,
,Trading liabilities,,,,202.555,
,Debt,,,,312.34299999999996,
,Other,,,,24.22,
,SE,,,,121.996,
,Assets,,,,1675.972,
,,,,,,
,CFFO,6298.0,8708.0,-12587.0,-13212.0,
,CFFI,-30465.0,-75960.0,-17312.0,,
,CFFF,134738.0,59602.0,27800.0,,
,FX,-5377.0,-11561.0,1851.0,,
,CIC,105194.0,-19211.0,-248.0,-13212.0,
