Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,,MOA,Alzheimer's,AS,Asthma,Atopic Dermatitis,Crohn's/UC,GBS,Granulomatosis with Polyangiitis,HS,Lupus,Multiple Sclerosis,Myasthenia Gravis,Osteoarthritis,PsA,Psoriasis,Rheumatoid Arthritis,Sarcoidosis,Sepsis,Sjogren's,Stroke,Systemic Sclerosis,Uveitis (autoimmune),,,,ARDS,TBI
,Cause,,"amyloid-beta --> IL-1B, TNF-alpha, NLRP3, C1q","HLA-B27, IL-23, IL-17, Th17","IL-4, IL-13, IgE",IL-4/IL-13,"Th1/Th17, IL-12, IL-23, NLRP3, IL-1beta","Th1/Th17, IFN-gamma, IL-17, TNF-alpha",,,,,,,,IL-23/Th17,,,,,,,,,,,,
,Th1/Th2?,,,,Th2,Th2,Th1,Th1,,,,,,,,,,,,,,,,,,,,
,Classic Autoimmune?,,,,NO,,NO,YES,YES,NO,,YES,YES,,,YES,YES,,,YES,,YES,YES,,,,,
,Autoantigen?,,,NO,NO,NO,NO,"GM1, GD1a, GQ1b gangliosides",proteinase 3,NO,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,rituximab,CD20,,,,,,,YES,,,"YES, 50% relapse reduction 18272891",,,,considered T-cell/macrophage driven,MODEST,,,,,,,,,,,
,ocrelizumab,CD20,,,,,,,YES,,,YES,,,,considered T-cell/macrophage driven,,,,,,,,,,,,
,ofatumumab,CD20,,,,,,,YES,,,,,,,,,,,,,,,,,,,
,prednisone,Steroid,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,,YES,YES,YES,YES,YES,,YES,NO,YES,YES,,,,NO,NO
,methylprednisolone,,NO,YES,YES,YES,YES,NO,YES,YES,YES,YES,,YES,YES,YES,YES,YES,,YES,NO,YES,YES,,,,NO,NO
,naproxen,NSAID,NO,NO,NO,NO,,,,,,,,YES,,,,,,,,,,,,,,
,celecoxib,COX-2,NO,NO,NO,NO,,,,,,,,YES,,,,,,,,,,,,,,
,rofecoxib,COX-2,NO,NO,NO,NO,,,,,,,,YES,,,,,,,,,,,,,,
,adalimumab,TNF,X,"YES, same efficacy as secukinumab 38556921",NO,,YES,,NO,"YES, 12.3% vs. 35.3% flares for drug vs. placebo 31630445",,,,,"58% ACR20 vs. 14% for placebo, 16200601","80% PASI75 vs. % placebo, 17010738",YES,,NO,NO,,NO,,,,,,
,etanercept,TNF,,YES,NO,,YES,,NO,YES,,,,,,,YES,,NO,NO,,NO,,,,,,
