 ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,Price,681,
,Facebook,50% of time Video,,,,,,,,,Shares,2572,Q325
,Instagram,20% of time Reels,,,,,,,,,MC,1751532,
,,Stories?,,,,,,,,,Cash,69522,Q325
,WhatsApp,,,,,,,,,,Debt,28834,Q325
,,,,,,,,,,,EV,1710844,
,Reality Labs,,,,,,,,,,,,
,Horizon,,,,,,,,,,,,
,Quest,,,,,,,,,,Class A,1865.970703,
,,,,,,,,,,,Class B,366.557943,
,,,,,,,,,,,,,
,,,,,,,,,,,Founded,2004-07-01 00:00:00,
,,,,,,,,,,,,,
,CEO: Mark Zuckerburg since 2004,,,,,,,,,,,,
,CFO: Dave Wehner,,,,,,,,,,,,
,COO: Javier Olivian replaces Sheryl Sandberg who resigns 5/28/22,,,,,,,,,,,,
,"BOD: Andreessen, Alford, Houston, Killefer, Kimmitt, Sandberg, Travis, Xu",,,,,,,,,,Acquisitions,,
,IR: Deborah Crawford investor@fb.com,,,,,,,,,,tbh 2017 - Nikita Bier,,
,,,,,,,,,,,"Instagram 4/2012 - 23m shares, $300m cash.",,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2012: IPO,,,,,,,,,,,,
,2/4/2004: Founded,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Menlo Park, CA",,,,,,,,,,,,
,650-543-4800,,,,,,,,,,,,
