Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,Patent,,,,,,,,,,,,,,,,,,,,
,8791110,4-methyl-piperazine-1-carbothioic acid amide derivatives and analogs for treatment of Arenaviruses,,,,,,,,,,,,,,,,,,,
,,"Tacaribe, Machupo, Pichinde, VSV viruses",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,   EC50s (µM) vs. pseudotypes ,,,,Structure,,,,,,,,,,,,
,,Compound,,,Tacaribe,Machupo,Pichinde,VSV,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,"N-(3,4- dichlorophenyl)piperidine-",,,0.109,0.28,0.98,>25,,,,,,,,,,,,,
,,1-carbothioamide,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,"N-(3,4- dichlorophenyl)morpholine- ",,,0.178,0.48,1.02,>25,,,,,,,,,,,,,
,,4-carbothioamide,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,8754082,benzimidazole derivatives and analogs for treatment of Arenaviruses,,,,,,,,,,,,,,,,,,,
,,Lassa virus,,,,,,,,,,,,,,,,,,,
,,A 7-azabenzimidazole core (Compound 1) is shown to be very potent with EC50 0.13 nM in the assay against Lassa GP-pseudotyped-virus in 293T cells ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,   EC50s (µM) vs. pseudotypes ,,,,,,,,,,,,
,,Compound,,,,,Formula,,Machupo,Guanarito,Junin,Sabia,VSVg,,Analytical data,,,,,,Structure
,,,,,,,,,,,,,,,,,,,,,
,,"[3-(4-Ethoxy-phenyl)- 3H-imidazo[4,5- b]pyridin-6-yl]-",,,,,C23 H24 N4 O,,< 0.05 uM,< 0.05 uM,< 0.05 uM,< 0.05 uM,1 < EC50 < ,,"H NMR in CDCl3: δ 8.11 (s, 1H), 7.97 (d, 1H), 7.59 (t, 1H), ",,,,,,
,,(4- ethyl-benzyl)-amine,,,,,,,,,,,50 uM,,"7.56 (t, 1H), 7.34 (s, 1H), 7.32 (d, 2H), 7.19 (d, 2H), ",,,,,,
,,,,,,,,,,,,,,,"7.06 (t, 1H), 7.03 (t, 1H), 4.36 (s, 2H), 4.12 (br, 1H), ",,,,,,
,,,,,,,,,,,,,,,"4.09 (q, 2H), 2.64 (q, 2H), 1.45 (t, 3H), 1.23 (t, 3H); ",,,,,,
,,,,,,,,,,,,,,,Mass Spec: 373.2 (M + H)+ ,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,8664274,"sulfonyl semicarbazides, carbonyl semicarbazides semicarbazides, and ureas for treatment of Arenaviruses",,,,,,,,,,,,,,,,,,,
,ST-336,"Tacaribe, Machupo, Guanarito, and Junin viruses",,,,,,,,,,,,,,,,,,,
,ST-294,"Among the 36 quality hits, there were several clusters of structure type - ST-336 was chosen for further development and is the representative prototype for this series",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Specificity of ST-336,,,Inhibitory,,,,,,,,,,,,,,,,
,,for Tacaribe,,,Concentration (EC),,Value (μM),,,,,,,,,,,,,,
,,(CPE) ,,,EC50,,0.055,,,,,,,,,,,,,,
,,(CPE) ,,,EC90,,0.125,,,,,,,,,,,,,,
,,(Virus yield),,,EC90,,0.068,,,,,,,,,,,,,,
,,(Virus yield),,,EC99,,0.085,,,,,,,,,,,,,,
,,(Plaque reduction),,,EC50,,0.1,,,,,,,,,,,,,,
,,Candid1 (CPE),,,EC50,,0.062,,,,,,,,,,,,,,
,,Amapari (CPE),,,EC50,,>20,,,,,,,,,,,,,,
,,Machupo (Plaque reduction),,,EC50,,0.15,,,,,,,,,,,,,,
,,Guanarito (Plaque reduction),,,EC50,,0.3,,,,,,,,,,,,,,
,,Junin (Plaque reduction) ,,,EC50,,0.15,,,,,,,,,,,,,,
,,Lassa (plaque reduction),,,EC50,,>20,,,,,,,,,,,,,,
,,LCMV (Elisa),,,EC50,,>20,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,ST-336 showed no inhibitory activity against LCM virus or authentic Lassa virus and lacked activity against the Amapari virus,,,,,,,,,,,,,,,,,,,
,,"ST-336 showed potent antiviral activity against the vaccine strain of Junin virus (Candid 1) as well as Machupo, Guanarito, and Junin ",,,,,,,,,,,,,,,,,,,
