Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Name,Indication,Economics,Class,Approved,IP,,,Price USD,15.03,
,Prevacid/Takepron,Ulcer,1,PPI,,2009-11-01 00:00:00,,,Price JPY,4333.0,
,Blopress (candesartan),Hypertension,1,ARB,1999,,,,Shares,1569.0,Q224
,Velcade (bortezomib),Multiple Myeloma,JNJ,,,,,,MC,6798477.0,
,Uloric (febuxostat),Gout,100%?,,,,,,Cash,0.0,Q125
,Actos (pioglitazone),Type 2 Diabetes,LLY 5%,PPAR,1999,"2011, Wockhardt",,,Debt,3975500.0,Q125
,Lupron/Leuplin,Prostate Cancer,ABT,LHRH agonist,,,,,EV,10773977.0,
,Gattex,,,,,,,,,,
,Protonix/Pantoloc/Controloc (pantoprazole),GERD,,PPI,,,,,,,
,"Takecab (vonoprazan), fka TAK-438",GERD,1,K-channel ant,,,,,,,
,Entyvio (vedolizumab),UC/Crohn's,1,a4b7 integrin,,,,,,,
,Adcetris (brentuximab vedotin),HL,SGEN,CD30 ADC,,,,,,,
,Enbrel,Rheumatoid Arthrits,PFE/AMGN,TNF,,,,,CEO: Christophe Weber,,
,Dexilant,Ulcer,1,PPI,2009-01-01 00:00:00,,,,CFO: Costa Saroukos,,
,Vectibix (panitumumab),mCRC,AMGN,VEGF mab,,,,,,,
,"Rozerem (ramelteon, fka TAK-375)",Insomnia,1,MT-1/MT-2 agonist,,,,,,,
,Exkivity (mobocertinib),NSCLC,,,,,,,,,
,Livtencity (maribavir),CMV,,,,,,,,,
,Takhzyro (lanadelumab),HAE,,,,,,,,,
,Firazyr (icatibant),HAE,,,,,,,,,
,Iclusig (ponatinib),CML/ALL,,,,,,,,,
,Qdenga,Dengue,,,,,,,,,
,Ninlaro (fka MLN 9708) (ixazomib),Multiple Myeloma,1,Proteasome,,,,,,,
,Trintellix/Lu AA21004 (vortioxetine),Depression,LUN DC,SSRI,,,,,,,
,Nesina (alogliptin),Type 2 Diabetes,"90%, FURX 10%",DPP4,,,,,,,
,,,,,Phase,,,,,,
,TAK-755 (apadamtase alfa/cinaxadamtase alfa),cTTP,,ADAMTS13,Filed,,,,1500 sales people in Japan,,
,TAK-279,Psoriasis,SDGR,Tyk2,III,,,,,,
,TAK-861,Narcolepsy,,orexin-2 agonist,,,,,,,
,TAK-935 (soticlestat),Dravet/LGS,,CH24H,,,,,,,
,TAK-071,Parkinson's,,M1 pam,,,,,,,
,TAK-920/DNL919,Alzheimer's,DNLI,TREM2 mab,I,,,,,,
,TAK-113 (fruquintinib),mCRC,,mCRC,,,,,,,
,TAK-653/NBI-845,Depression,NBIX,AMPA,II,,,,,,
,TAK-041/NBI-846,Depression,NBIX,GPR139,II,,,,,,
,TAK-925 (danavorexton),postanesthesia recovery,1,orexin-2 agonist,I,,,,,,
,TAK-341/MEDI1341,MSA,AZN,alpha-synuclein mab,II,,,,,,
,TAK-594/DNL593,FTD,DNLI,progranulin,II,,,,,,
,TAK-981 (subasumstat),Oncology,1,SUMO,,,,,,,
,TAK-573 (modakafusp),Multiple Myeloma,,CD38 fusion,,,,,,,
,TAK-007,B cell lymphoma,,CD19 CAR-NK,,,,,,,
,TAK-103,Oncology,,Mesothelin CART,,,,,,,
,TAK-102,Oncology,,GPC3 CART,,,,,,,
,TAK-676,Oncology,,STING agonist,,,,,,,
,fazirsiran (TAK-999),Alpha-1 Antitypsin,ARWR,RNAi,III,,,,,,
,TAK-141 (pabinafusp),Hunter Syndrome,1,ERT,,,,,,,
,,,,,,,,,,,
,,,,,1/4/2008: SYR-322 filing in the US.,,,,,,
,,,,,1/4/2008: File TAK390-MR.,,,,,,
,,,,,May 2011: Announces Nycomed acquisition.,,,,,,
,,,,,May 2011: Actos bladder cancer risk.,,,,,,
