Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,Regeneron (Axokine),Private,,2003
,Atherogenix,Private,,2004
,Telik,Private,Private,2006
,Northfield,Private,https://www.chicagotribune.com/2006/12/20/blood-substitute-a-disaster-in-trial/,2006
,Oncothyreon,SA,https://seekingalpha.com/article/281421-oncothyreon-phase-iii-unlikely-to-show-survival-benefit,2011-07-25 00:00:00
,Arena,Private,,2011
,MannKind,Paper,,2011
,Cytori,Paper,,2011
,Prana,Private,,2014
,Celladon,Private,,2015
,Vital Therapies,Paper,https://pdfcoffee.com/vtl-writeup-by-martin-shkreli-pdf-free.html,2015
,Axovant,Video,https://www.youtube.com/watch?v=H_g8xjYufHo,2017
