Main,Unnamed: 1,Unnamed: 2
,Brand,
,Indication,veligrotug
,MOA,
,Administration,fewer infusions with shorter infusion
,Clinical Trials,
,,Phase I/II active & chronic TED
,,"n=21 3 dose cohorts, active"
,,"  71% proptosis responders, 67% overall responders, 54% complete resolution of diplopia, 5% for placebo"
,,  2.9mm mean reduction vs. 0.5mm for placebo
,,  2.8mm mean reduction for Tepezza vs. 0.54mm for placebo
,,    -3.32 vs. -0.53 for least squares mean change
,,"n=12 2 dose cohorts, chronic"
,,"  42% proptosis responders, 0% complete resolution"
,,
,,Tepezza 83% responders vs. 10%
,,
,,"Phase III ""THRIVE"" n=113 active TED"
,,n=75 veligrotug vs. n=38 placebo
,,53% proptosis response after one infusion
,,
,,
,,
,,"Phase III ""THRIVE-2"" chronic TED"
,,end of year results
,,
,,
,,
,,Phase I subcutaneous
,,40-50 day half life
,,
,,"Phase III ""REVEAL-1"" subcutaneous active TED"
,,
,,"Phase III ""REVEAL-2"" subcutaneous chronic TED"
