Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,2022.0,2023.0,2024.0
,Client Assets,7049.8,8516.6,10101.3
,Accounts,33758.0,34838.0,36456.0
,Average,208.8334616979679,244.4629427636489,277.08196181698486
,,,,
,Assets y/y,,0.20806264007489572,0.18607190662940587
,Accounts y/y,,0.03199241661235863,0.04644353866467643
,,,,
,Client Yield,,,0.000905230019898429
,,,,
,Interest Revenue,12227.0,16111.0,15537.0
,Interest Expense,1545.0,6684.0,6393.0
,NIR,10682.0,9427.0,9144.0
,Asset Management,4216.0,4756.0,5716.0
,Trading,3673.0,3230.0,3264.0
,Bank+Other,2191.0,1424.0,1482.0
,Revenue,20762.0,18837.0,19606.0
,Compensation,5936.0,6315.0,6043.0
,Professional,1032.0,1058.0,1053.0
,Occupancy,1175.0,1254.0,1060.0
,Advertising,419.0,397.0,397.0
,Communications,588.0,629.0,591.0
,Regulatory,262.0,547.0,398.0
,Other,714.0,921.0,937.0
,Operating Costs,10126.0,11121.0,10479.0
,Operating Margin,10636.0,7716.0,9127.0
,Taxes,2205.0,1311.0,1750.0
,Net Income,8431.0,6405.0,7377.0
,EPS,4.45142555438226,3.4980884762424904,4.0223555070883314
,Shares,1894.0,1831.0,1834.0
,,,,
,Net Cash,,,-3044.0
,Cash,,,42083.0
,Segregated Cash,,,38221.0
,Broker Receivables,,,2440.0
,Client Receivables,,,85374.0
,Securities,,,82994.0
,Bonds,,,146453.0
,Loans,,,45215.0
,Equipment,,,3338.0
,Goodwill,,,19694.0
,Other,,,14031.0
,Assets,,,479843.0
,,,,
,Deposits,,,259121.0
,Broker Payable,,,13336.0
,Client Payable,,,101559.0
,Accrued Expenses,,,12325.0
,Debt,,,45127.0
,SE,,,48375.0
,L+SE,,,479843.0
,,,,
,CFFO,2057.0,19587.0,2670.0
,CFFI,32048.0,57411.0,35431.0
,CFFF,-68723.0,-61245.0,-47060.0
