Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,Brand,Indication,MOA,Approved,Economics,,,,Price,127.02,
,Adcetris (brentuximab vedotin),HL,,,"TAK, BMS, U Miami",,,,Shares,185.664901,Q322
,Padcev (enfortumab vedotin),mUC,,,4503,,,,MC,23583.15572502,
,Tukysa (tucatinib),mBC,,,,,,,Cash,1763.7020000000002,Q322
,Tivdak (tisotumab vedotin),Cevical,,,,,,,Debt,0,Q322
,Blenrep,,,,GSK,,,,EV,21819.453725019997,
,Polivy,,,,ROG,,,,,,
,,,,Phase,,,,,CEO,,
,telisotuzumab vedotin,,,II,ABBV,,,,CMO,Roger Dansey,
,disitamab vedotin,mUC,,II,,,,,,,
,ladiratuzumab vedotin,mTNBC,,II,,,,,,,
,SEA-CD40,,,II,,,,,,,
,SEA-BCMA,,,I,,,,,Incorporated 7/15/1997,,
,SGN-CD228A,,,I,,,,,,,
,LAVA-1223,,,PC,,,,,,,
,SEA-TGT,,,I,,,,,,,
,SGN-B6A,,,I,,,,,,,
,SGN-STNV,,,I,,,,,,,
,SGN-B7H4V,,,I,,,,,,,
,SGN-PDL1V,,,I,,,,,,,
,SGN-ALPV,,,I,,,,,,,
,SEA-CD70,,,I,,,,,,,
