Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,2015-02-03,2016-02-03 00:00:00,2017-02-03 00:00:00,2018-02-02 00:00:00,2019-01-01 00:00:00,2020-01-31 00:00:00,2021-01-29 00:00:00,2022-01-28 00:00:00,2023-02-03 00:00:00,2024-02-02 00:00:00,2025-01-31 00:00:00
,,,,,,,,,,,,
,Stores,,1857,2129,2152,2015,1977,1974,1971,1738,1746,1748
,,,,,,,,,,,,
,Revenue,,59074,65017,68619,71309,72148,89597,96250,97059,86377,83674
,COGS,,38504,43343,46185,48401,49205,60025,64194,64802,57533,55797
,Gross Profit,,20570,21674,22434,22908,22943,29572,32056,32257,28844,27877
,SG&A,,14105,14375,14444,17413,15367,18526,18301,20332,15570,15682
,Operating Margin,,6465,7299,7990,5495,7576,11046,13755,11925,13274,12195
,Interest Expense,,552,645,633,624,691,848,885,1123,1382,1313
,Pretax Income,,5913,6654,7357,4871,6885,10198,12870,10802,11892,10882
,Taxes,,1873,2108,2042,1080,1342,1904,2766,2599,2449,2196
,Net Income,,4040,4546,5315,3791,5543,8294,10104,8203,9443,8686
,EPS,,,,,,,,,,,
,Shares,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Revenue y/y,,,0.1006026339844941,0.055400895150499174,0.03920197029977124,0.01176569577472697,0.2418500859344681,0.07425471834994468,0.00840519480519486,-0.11005676959375221,-0.03129305254871084
,,,,,,,,,,,,
,,,,,,,,,,,,
,Cash,,,,,,,,,,,2410
,Inventories,,,,,,,,,,,17409
,OCA,,,,,,,,,,,816
,PP&E,,,,,,,,,,,17649
,Leases,,,,,,,,,,,3738
,DT,,,,,,,,,,,244
,Other,,,,,,,,,,,836
,Assets,,,,,,,,,,,43102
,,,,,,,,,,,,
,Debt,,,,,,,,,,,35487
,Leases,,,,,,,,,,,4191
,AP,,,,,,,,,,,9290
,DR,,,,,,,,,,,1008
,DR,,,,,,,,,,,2626
,OCL,,,,,,,,,,,3952
,OLTL,,,,,,,,,,,779
,SE,,,,,,,,,,,-14231
,L+SE,,,,,,,,,,,43102
,,,,,,,,,,,,
,Model NI,,,,,,,,,,,8686
,Reported NI,,,,,,,,,,,6957
,D&A,,,,,,,,,,,1972
,Noncash Lease,,,,,,,,,,,520
,DT,,,,,,,,,,,9
,Impairment,,,,,,,,,,,5
,Sale of business,,,,,,,,,,,-177
,SBC,,,,,,,,,,,221
,WC,,,,,,,,,,,118
,CFFO,,4784,5617,5065,6193,4296,11049,10113,8589,8140,9625
,,,,,,,,,,,,
,CapEx,,-1123,-1123,-1123,-1174,-1484,-1791,-1853,-1829,-1964,-1927
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,FCF,,3661,4494,3942,5019,2812,9258,8260,6760,6176,7698
