Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Branded Name,Gleevec/Glivec,,,,,,,
,Generic Name,imatinib mesylate,,,,,,,
,Indication,"CML, GIST",,,,,,,
,Usage,"CML, GIST",,,,,,,
,Mechanism,BCR-ABL tyrosine kinase inhibitor,,,,,,,
,Administration,oral,,,,,,,
,Competition,chemotherapy,,,,,,,
,Approved/Launched,2001-05-01 00:00:00,,,,,,,
,IP,,,,,,,,
,Efficacy,"94% RR in chronic CML, 43% RR in GIST",,,,,,,
,Safety,"Dear Dr letter on severe CHF 10/19/2006. Hepatotoxicity (1-4%), fluid retention syndrome (2-18%), neutropenia (8-46%), thrombocytopenia (1-31%)",,,,,,,
,Cost,$24k annual,,,,,,,
,,,,,,,,,
,,CML,2005.0,,GIST,,New Glivec indications,,
,,US Prevalence,5000.0,,US diagnosis,3k-6k,GIST adjuvant ,phase 3,<10k
,,WW Prevalence,60000.0,,,,HR prostate,phase 2,100k+
,,,,,,,ALL,phase 2,4k
,,,,,,,GBM,phase 2,25k
,,,,,,,IPF,phase 2,200k
,Clinical Trials,,,,,,,,
,,Phase III TOPS,,,,,,,
,,800mg vs 400mg failed to show SS improvement.,,,,,,,
