Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235,Unnamed: 236,Unnamed: 237
,CHF,1H03,2H03,1H04,2H04,1H04,2H04,1H05,2H05,1H06,2H06,1H07,2H07,1H08,2H08,1H09,2H09,1H10,2H10,1H11,2H11,1H12,2H12,1H13,2H13,1H14,2H14,1H15,2H15,1H16,2H16,1H17,2H17,1H18,2H18,1H19,2H19,1H20,2H20,1H21,2H21,1H22,2H22,,,,,,Q104,Q204,Q304,Q404,Q105,Q205,Q305,Q405,Q106,Q206,Q306,Q406,Q107,Q207,Q307,Q407,Q108,Q208,Q308,Q408,Q109,Q209,Q309,Q409,Q110,Q210,Q310,Q410,Q111,Q211,Q311,Q411,Q112,Q212,Q312,Q412,Q113,Q213,Q313,Q413,Q114,Q214,Q314,Q414,Q115,Q215,Q315,Q415,Q116,Q216,Q316,Q416,Q117,Q217,Q317,Q417,Q118,Q218,Q318,Q418,Q119,Q219,Q319,Q419,Q120,Q220,Q320,Q420,Q121,Q221,Q321,Q421,Q122,Q222,Q322,Q422,Q123,Q223,Q323,Q423,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,,,,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034,2035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drugs,,,,,,,,,,,,,,,19477,20063,15303,21755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4069.904642409034,4173.609786700125,4166.282308657465,4238,4755,4932.728262602233,5009.271737397766,5887,5602,5550,6038.257867588684,6461.146521744965,5116,4939,9212,10011,8795,8902,9138,9972,9396,10081,10101,9962,5341,9659,9009,8663,8712,8103,7582,8397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9557,10001,10547,10511,11159,10082,9636,11088,10573,9974,9893,10085,10921,11716,11620,11914,,,,,,,,,14673.0,14294.0,15796.0,16647.796737766625,20584.0,22785.40438933365,20074.0,19186.0,39540.0,36911.0,32794.0,17131.0,20887.0,19868.0,18825.0,19149.0,18322.0,18423.0,18966.0,44532.0,45041.0,42549.0,45711.0,47329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,,,2051,2470,,,2867,3747,4223,4902,5227,5187,4867,5594,7516,7289,7372,6699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982,2056,2167,2299,2603,2547,2680,2623,2564,3326,2468,2669,2925,3586,3930,3641,3648,3647,3725,3506,3193,3322,2963,2819,3119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2866.0,3250.0,3382.0,4521.0,6614.0,9125.0,10414.0,10461.0,14805.0,14071.0,12223.0,,,,,,,,,,,,23259.0,24774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chugai,,,,,,,1807,1892,1684,1819,1674,1725,1452,1884,2184,2581,2061,2258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748,807,767,881,955,852,826,1066,862,822,841.7815970562415,1017.5078900940982,893,781,808,917,671,781,782,1102,1139,1045,1306,1275,988,1073,1076,1182,903,928,881,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,1585.0,3156.0,3203.0,3699.0,3503.0,3399.0,3336.0,4765.0,4319.0,3817.0,,,,,,,,,,,,3745.0,2874.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diagnostics,,,,,,,3970,4273,4272,4475,4559,4791,4747,4909,4902,5153,5250,5165,4856,4881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2235,2091,2181,2143,2332,2216,2343,2264,2527,2287,2460,2365,2544,2361,2541,2463,2690,2518,2732,2482,2683,2408,2448,2239,2642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4330,,4263,4455,5286,4662,3900,3882,3623,3475,3333,3770,3478,3733,3516,3597,3478,3733,3516,3597,,,,,2866.0,3250.0,3382.0,4522.0,6614.0,8747.0,9350.0,9656.0,10055.0,10415.0,9737.0,,10476.0,10766.0,10814.0,11473.0,12079.0,12879.0,12950.0,13791.0,17760.0,17730.0,14201.0,14324.0,14324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,International,,,,,,,,,,,,,,,,,4909,4292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2238,2495,2414,2176,2116,2278,2122,1971,2162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2238.0,9201.0,8533.0,,,,,,,,,,,,8955.0,9691.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Western Europe,,,,,,,7978,8977,9670,10996,11367,11603,10938,11226,9404,7784,5044,4423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3546,3494,3483,3447,3859,4119,4191,4786,4821,4849,5017.1291249999995,5572.7543856047305,5702,5665,5425,6178,4571,5440,5485,5741,4491,4913,4983,2801,2597,2447,2251,2172,2209,2090,1911,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13334.0,12868.0,13243.0,13970.0,16955.0,20666.0,22970.0,22164.0,17188.0,9467.0,8221.0,,,,,,,,,,,,8306.0,8832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ocrevus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1226,1212,1283,1334,1449,1461,1517,1609,1636,1564,1567,1614,1658,1701,1697,1688,1778,1786.0500000000002,1781.8500000000001,1772.4,,,,,,,,,,,,,,,,,,,,,869.0,2353.0,3708.0,4326.0,5055.0,6036.0,6381.0,6744.0,7118.300000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hemlibra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661,732,779,850,853,973,952,1045,1034,1053,1025,1035,1040,1103,1137,1223,1165,1136.09,1171.1100000000001,1259.69,,,,,,,,,,,,,,,,,,,,,,224.0,1380.0,2190.0,3022.0,3823.0,4147.0,4503.0,4731.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Perjeta,,,,,,,,,,,,,,,,,,,,,,,,,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,50,58,78,140,178,210,,,,,,,,,,,,,,,,,,,,,,,,,,,988,980,1006,981,993,1068,1029,997,1049,1033,913,773,936,985,888,807,840,886.5,799.2,726.3000000000001,,,,,,,,,,,,,,,,30.0,326.0,918.0,1445.0,1846.0,2196.0,2773.0,3522.0,3883.0,3955.0,4087.0,3768.0,3616.0,3252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
