Main,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,2021.0,2022.0
,Revenue,4341.1,5160.5
,COGS,1544.0,1799.5
,Gross Profit,2797.1000000000004,3361.0
,S&M,797.4,1019.3
,G&A,357.4,416.7
,R&D,510.8,607.1
,OpEx,1665.6,2043.1
,OpInc,1131.5000000000005,1317.9
,Interest,-148.20000000000002,-69.90000000000002
,Pretax,983.3000000000004,1248.0
,Taxes,173.6,228.9
,Net Income,809.7000000000004,1019.1
,EPS,0.31067137169257014,0.3765666257989709
,S/O,2606.291,2706.294
,,,
,,,
,,,
,,,
,Gross Margin,0.6443297781668241,0.6512934793140199
,,,
,CFFO,1345.0,1504.6
