Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,Name,Indication,MOA,Phase,,,,,,,,Price,19.48,
,veligrotug (VRDN-001),TED,IGF-1R mab,III,,,,,,,,Shares,79.212747,Q324
,VRDN-006,,FcRn mab,IND,,,,,,,,MC,1543.0643115599999,
,VRDN-008,,FcRn mab,,,,,,,,,Cash,753.24,Q324
,,,,,,,,,,,,Debt,20.523,Q324
,,,,,,,,,,,,EV,810.3473115599999,
,,,,,,,,,,,,,,
,,,,,,2H25: Filing BLA,,,,,,,,
,,,,,,,,,,,,PIC,1433.019,Q324
,,,,,,,,,,,,AD,916.132,Q324
