Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,CEO,Ian Read,Jeff Kindler,Hank McKinnell,Bill Steere,Ed Pratt,,,,,,,,,,
,CFO,Frank D'Amelio,,,,,,,,,,,,,,
,Established Products,Olivier Brandicourt,David Simmons,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Chinese salesforce of 3500 in 177 cities.,,,,,,,,,,,,,,,
,China sales roughly $1bn in 2009 - GS,,,,,,,,,,,,,,,
,China healthcare spend is 4.5% of GDP.,,,,,,,,,,,,,,,
,Norvasc grew 28% y/y in China in 2008 - GS.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"$165m total expenditures on healthcare in China in 2007, $125 per capita.",,,,,,,,,,,,,,,
,"$5,711 in US, $3k in germany, $2.2k in Japan.",,,,,,,,,,,,,,,
,"$92bn chinese pharmaceutical industry: 28% API, 34% pharma, 9% biotech, 29% traditional.",,,,,,,,,,,,,,,
,80% of drugs dispensed through hospital pharmacies.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Name,Maturity Date,Issue Date,Duration,Amount,Coupon,Price,Yield,Type,Rating,High Yield,High Date,Low Yield,Low Date,Tsys,Spread
,2037 5.95% Wyeth,2037-04-01 00:00:00,2007-03-22 00:00:00,27 years,2000,0.0595,112.127,0.0511,Guaranteed,AA,8.288,2008-10-15 00:00:00,4.812,2008-12-26 00:00:00,0.0402,0.0109
,2038 6.5% GBP,2038-06-03 00:00:00,2009-05-27 00:00:00,28 years,1500,0.065,119.6,0.0516,Senior Unsecured,AA,6.394,2009-05-28 00:00:00,5.062,2009-08-17 00:00:00,0.0403,0.011299999999999998
,2039 7.2%,2039-03-15 00:00:00,2009-03-17 00:00:00,29 years,2500,0.072,129.317,0.0522,Senior Unsecured,AA,6.949,2009-03-25 00:00:00,5.21,2009-08-28 00:00:00,0.0404,0.011800000000000005
