Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,Brand,ATYR1923,,
,Generic,efzofitimod,,
,Indication,"pulmonary sarcoidosis. Lung granulomas. Dyspnea, cough, fatigue.",,
,MOA,"histidyl-tRNA synthetase, neuropilin 2 domain",,
,,upregulated on surface of activated immune cells??,,
,Administration,IV,,
,Clinical Trials,,,
,,,,
,,"Phase III ""EFZO-FIT"" n=268 pulmonary sarcoidosis",,
,,,,
,,,,
,,Phase Ib n=37 pulmonary sarcoidosis 24 weeks - NCT03824392,,
,,"Protocol: day 15 steroid taper: 10-25mg/d -> 5mg/d by day 50, maintained until 24 weeks.",,
,,"Baseline, FEV1:",,
,,,"placebo: 68.3%, 60.4% 1mg/kg, 77.6% 3mg/kg, 77.3% 5mg/kg.",
,,,"FVC: 77.3%, 68.3%, 83.8%, 83.8%",
,,,"Steroids: 13.3, 11.3, 14.4, 13.9.",
,,,"Duration of Disease: 2.9, 5.3, 4.3, 2.9y.",
,,,,
,,,,
,,,,
,,Efzofitimod for the Treatment of Pulmonary Sarcoidosis. Culver et al. Chest 2023.,,
,,,"1mg/kg, 3mg/kg, 5mg/kg q4w or placebo",
,,,steroid taper in protocol?,
,,,"n=12 placebo - 1 AE, 2 COVID-19, n=9 week 24 completer. Baseline FVC 77",
,,,,46% reduction from baseline in steroid use
,,,"n=8 1mg/kg - 1 AE dropout, 1 investigator decision dropout - n=6 week 24 completer. Baseline FVC 68",
,,,,41% reduction from baseline. 5% reduction in steroid use vs. placebo. +1.2% difference in adjusted means (AUC)
,,,n=8 3mg/kg - 3 COVID-19 dropouts!!! - n=5 week 24 completer. Baseline FVC 84.,
,,,,"49% reduction from baseline. 9% reduction in steroid use vs. placebo, 2.3% less in adjusted means (AUC)"
,,,n=9 5mg/kg - 1 COVID-19 dropout - n=8 week 24 completer. Baseline FVC 84.,
,,,,"58% reduction from baseline in steroid use, 22% less than placebo. -12.3% adjusted means (AUC)"
,,,,3 tapered to zero steroids and maintained zero.
,,,"n=28 completers, n=9 discontinued, n=6 from COVID",
,,,,13.2mg/d (+-4.4mg/d)
,,,,
,,,,
,,,,
,,Phase I healthy volunteers,,
,,7-10 day halflife,,
