Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Diabetes,,,,,,,,,Price,132.0,
,,"FreeStyle, FreeStyle Libre, sensors, test strips",,,,,,,,Shares,1747.0,Q125
,,,DexCom,,,,,,,MC,230604.0,
,Vascular,,,,,,,,,Cash,7751.0,Q125
,,XIENCE DES,,,,,,,,Debt,13242.0,Q125
,,"StarClose (clip closure system), Perclose ProGlide, Perclose ProStyle (suture system)",,,,,,,,EV,236095.0,
,Rhythm,,,,,,,,,,,
,,"Assurity, Endurity pacemakers",,,,,,,,,,
,,Aveir single and dual-chamber leadless pacemakers,,,,,,,,Founded:,1900.0,
,,"Ellipse, Fortify Assura, Gallant ICD",,,,,,,,,,
,,Quadra Assura ICD-CRT,,,,,,,,,,
,,"Confirm Rx, Jot Dx, Assert IQ implantable cardiac monitors",,,,,,,,,,
,Electrophysiology,,,,,,,,,,,
,,"TactiFlex, TactiCath ablation catheters",,,,,,,,2017: Closes St. Jude Medical acquisition for $25B.,,
,,FlexAbility irrigated ablation catheter,,,,,,,,,,
,,EnSite cardiac mapping system,,,,,,,,,,
,,"Agilis NxT, Swartz - introducer catheters",,,,,,,,,,
,,Advisor HD Grid mapping catheter,,,,,,,,,,
,,ViewFlex intracardiac echo catheter,,,,,,,,,,
,,,,,,,,,,,,
,Heart Failure,,,,,,,,,,,
,,HeartMate LVAD,,,,,,,,,,
,,CardioMEMS HF System pulmonary artery sensor,,,,,,,,,,
,,CentriMag - circulatory support system,,,,,,,,,,
,,,,,,,,,,,,
,Structural Heart,,,,,,,,,,,
,,MitraClip - transcatheter mitral valve repair system,,,,,,,,,,
,,TriClip - tricuspid transcatheter repair,,,,,,,,,,
,,Epic - aortic valve and mitral valve replacement devices,,,,,,,,,,
,,Portico Navitor - transcatheter aortic heart valves,,,,,,,,,,
,,Regent and Masters Series mechanical heart valves,,,,,,,,,,
,,Amplatzer PFO occluder,,,,,,,,,,
,,Amplatzer Amulet occluder,,,,,,,,,,
,,Tendyne transcatheter mitral valve replacement system,,,,,,,,,,
,,,,,,,,,,,,
,Neuromodulation,,,,,,,,,,,
,,Proclaim spinal cord stimulator,,,,,,,,,,
,,Infinity DBS system,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Nutritional,,,,,,,,,,,
,,Similac,,,,,,,,,,
,,Ensure,,,,,,,,,,
,,Pediasure,,,,,,,,,,
,,"Enteral Feeding: Glucerna, Osmolite",,,,,,,,,,
,,,,,,,,,,,,
,Diagnostics,,,,,,,,,,,
,,Alinity,core lab,,,,,,,,,
,,"Alinity m, m2000",molecular diagnostics/PCR,,,,,,,,,
,,iSTAT,POC system,,,,,,,,,
,,"BinaxNOW, PanBio",Rapid diagnostics,,,,,,,,,
,,,,,,,,,,,,
,Pharmaceuticals,,,,,,,,,,,
,,"Creon, Duspatal, Dicetel, Heptral, Transmetil, Samyr, Duphalac, Duphaston, Femoston, TriCor, Serc, Brufen, Sevedol, clarithromycin",,,,,,,,,,
