Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0
,Pharmacy,,,,,,107769.0,121413.0,128566.0,,,,,,
,Premiums,,,,,,42627.0,41154.0,39915.0,,,,,,
,Fees,,,,,,8761.0,9962.0,10880.0,,,,,,
,Investment,,,,,,1244.0,1549.0,1155.0,,,,,,
,,,,,,,,,,,,,,,
,Evernorth,,,,,,116130.0,131912.0,140335.0,,,,,,
,Cigna,,,,,,41135.0,44652.0,45036.0,,,,,,
,Other,,,,,,8446.0,3989.0,2262.0,,,,,,
,Corporate,,,,,,-5310.0,-6475.0,-7117.0,,,,,,
,Revenue,,,,,,160401.0,174078.0,180516.0,0.0,0.0,,,,
,Pharmacy Costs,,,,,,103484.0,117553.0,124834.0,,,,,,
,Pharmacy GM,,,,,,4285.0,3860.0,3732.0,,,,,,
,Medical Costs,,,,,,32710.0,33562.0,32206.0,,,,,,
,MLR,,,,,,9917.0,7592.0,7709.0,,,,,,
,SG&A,,,,,,14072.0,13030.0,13186.0,,,,,,
,Operating Margin,,,,,,10135.0,9933.0,10290.0,,,,,,
,Interest,,,,,,-1438.0,-1208.0,-1228.0,,,,,,
,Pretax,,,,,,8697.0,8725.0,9062.0,,,,,,
,Taxes,,,,,,2410.0,1417.0,1685.0,,,,,,
,Net Income,,,,,,6287.0,7308.0,7377.0,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,0.08526754820730553,0.03698342122496823,,,,,,
,MLR,,,,,,0.7673540244446009,0.8155221849637946,0.8068645872479018,,,,,,
