Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185
,International,,573,,,,1048,,,,,,,,,,,,,,,,,,,,,3267,3155,3952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Download,,163,,,233,337,,,237,,,,,,,,,,,,,,,,,,811,918,1282,1262,1343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Packaged,,119,,,89,280,,,104,,,,,,,,,,,,,,,,,,1076,695,711,675,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Full Game,,282,,,322,617,,,341,,,372,443,621,618,333,250,,,,,,,,,,1887,1613,1993,1937,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Live Services,,869,,1096,1229,1209,1173,1387,1426,,,1502,1481,1293,1327,1446,1410,,,,,,,,,,3650,4016,4998,5489,5547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue,1459,1151,1673,1346,1551,1826,1789,1825,1767,1850,1967.9,1874,1924,1914,1945,1779,1660,1914,,,,,4396,4845,5150,4950,5537,5629,6991,7426,7562,7788.860000000001,8022.525800000001,8263.201574,8511.09762122,8766.430549856601,9029.423466352298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COGS,288,286,601,319,315,494,631,419,314,499.5,531.3330000000001,448,368,,,357,263,,,,,,1354,1298,1277,1322,1369,1494,1859,1792,1710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross profit,1171,865,1072,1027,1236,1332,1158,1406,1453,1350.5,1436.567,1426,1556,,,1422,1397,,,,,,3042,3547,3873,3628,4168,4135,5132,5634,5852,5763.7564,5976.781721000001,6197.401180500001,6383.323215915,6574.82291239245,6772.067599764224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,R&D,438,421,451,468,515,553,539,579,572,558.53,544.39,635,596,,,638,629,,,,,,1109,1205,1320,1433,1559,1778,2186,2328,2420,2444.2,2468.642,2493.32842,2518.2617041999997,2543.4443212419997,2568.8787644544195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M&S,121,156,216,196,190,233,293,245,234,235.33,295.93,255,229,,,234,205,,,,,,622,673,641,702,631,689,961,978,1019,1029.19,1039.4819,1049.876719,1060.3754861900002,1070.9792410519,1081.689033462419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,G&A,136,133,149,174,169,176,163,165,167,177.76,164.63,224,163,,,185,180,,,,,,406,439,469,460,506,592,673,727,691,697.91,704.8891,711.937991,719.05737091,726.2479446191,733.5104240652911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OpEx,695,710,816,838,874,962,995,989,973,971.62,1004.9499999999999,1114,988,0,0,1057,1014,,,,,,2137,2317,2430,2595,2696,3059,3820,4033,4130,4171.3,4213.013,4255.1431299999995,4297.6945613,4340.671506913,4384.078221982129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OpInc,476,155,256,189,362,370,163,417,480,378.88,431.6170000000001,312,568,0,0,365,383,,,,,,905,1230,1443,1033,1472,1076,1312,1601,1722,1592.4564,1763.7687210000013,1942.2580505000014,2085.6286546150004,2234.1514054794507,2387.9893777820944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Interest,-3,-10,-6,-10,-14,-14,-11,-9,-5,,,6,,,,26,30,,,,,,-21,-14,15,83,63,-29,-48,-6,71,27.883976000000004,40.84669900800001,55.283622368064016,71.26395575100854,88.51909663393661,107.10046065084371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pretax,473,145,250,179,348,356,152,408,475,378.88,431.6170000000001,318,568,0,0,391,413,,,,,,884,1216,1458,1116,1535,1047,1264,1595,1793,1620.340376,1804.6154200080014,1997.5416728680655,2156.8926103660087,2322.670502113387,2495.089838432938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taxes,103,-46,34,89,104,32,25,131,125,75.776,86.32340000000002,193,,,,78,114,,,,,,0,243,406,60,0,180,292,524,316,324.06807520000007,360.9230840016003,399.5083345736131,431.3785220732018,464.53410042267745,499.0179676865876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Income,370,191,216,90,244,324,127,277,350,303.104,345.2936000000001,125,568,0,0,313,299,,,,,,884,973,1052,1056,1535,867,972,1071,1477,1296.2723008,1443.692336006401,1598.0333382944523,1725.514088292807,1858.1364016907096,1996.0718707463504,1976.111152038887,1956.3500405184982,1936.786540113313,1917.4186747121798,1898.244487965058,1879.2620430854074,1860.4694226545532,1841.8647284280078,1823.4460811437277,1805.2116203322905,1787.1595041289677,1769.287909087678,1751.595029996801,1734.079079696833,1716.7382888998648,1699.570906010866,1682.5751969507573,1665.7494449812498,1649.0919505314373,1632.6010310261229,1616.2750207158617,1600.1122705087032,1584.1111478036162,1568.27003632558,1552.587335962324,1537.0614626027007,1521.6908479766737,1506.473939496907,1491.4092001019378,1476.4951081009185,1461.7301570199093,1447.1128554497102,1432.641726895213,1418.3153096262608,1404.1321565299982,1390.0908349646982,1376.1899266150513,1362.4280273489007,1348.8037470754118,1335.3157096046577,1321.9625525086112,1308.7429269835252,1295.65549771369,1282.6989427365531,1269.8719533091876,1257.1732337760957,1244.6015014383347,1232.1554864239513,1219.8339315597118,1207.6355922441146,1195.5592363216736,1183.6036439584568,1171.7676075188722,1160.0499314436834,1148.4494321292466,1136.9649378079541,1125.5952884298745,1114.3393355455758,1103.19594219012,1092.1639827682186,1081.2423429405364,1070.4299195111312,1059.7256203160198,1049.1283641128596,1038.637080471731,1028.2507096670138,1017.9682025703436,1007.7885205446402,997.7106353391938,987.7335289858019,977.8561936959438,968.0776317589844,958.3968554413945,948.8128868869806,939.3247580181107,929.9315104379297,920.6321953335504,911.4258733802149,902.3116146464127,893.2884984999486,884.355613514949,875.5120573797996,866.7569368060016,858.0893674379415,849.508473763562,841.0133890259265,832.6032551356672,824.2772225843105,816.0344503584673,807.8741058548826,799.7953647963337,791.7974111483704,783.8794370368868,776.0406426665179,768.2802362398527,760.5974338774541,752.9914595386796,745.4615449432928,738.0069294938598,730.6268601989212,723.320591596932,716.0873856809627,708.9265118241531,701.8372467059115,694.8188742388525,687.8706854964639,680.9919786414993,674.1820588550843,667.4402382665335,660.7658358838681,654.1581775250295,647.6165957497792,641.1404297922815,634.7290254943587,628.3817352394151,622.0979178870209,615.8769387081506,609.7181693210691,603.6209876278584,597.5847777515798,591.608929974064,585.6928406743234,579.8359122675802,574.0375531449043,568.2971776134552,562.6142058373207,556.9880637789474,551.418183141158,545.9040013097464,540.4449612966489,535.0405116836824,529.6901065668457,524.3932055011772,519.1492734461655,513.9577807117038,508.8182029045867,503.73002087554084,498.6927206667854,493.70579346011755,488.7687355255164,483.8810481702612,479.04223768855854,474.25181531167294,469.5092971585562,464.81420418697064,460.1660621451009,455.5644015236499
,EPS,1.2671232876712328,0.6518771331058021,0.7397260273972602,0.3103448275862069,0.8442906574394463,1.1289198606271778,0.4456140350877193,0.9787985865724381,1.2455516014234875,1.078661921708185,1.2288028469750893,0.4562043795620438,2.072992700729927,0,0,1.1592592592592592,1.1156716417910448,,,,,,2.6787878787878787,3.0987261146496814,3.371794871794872,3.450980392156863,5.203389830508475,2.969178082191781,3.3986013986013988,3.852517985611511,5.430147058823529,4.765706988235294,5.307692411788239,5.875122567259016,6.3438017951941434,6.831383829745256,7.338499524802759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shares,292,293,292,290,289,287,285,283,281,281,281,274,274,274,274,270,268,,,,,,330,314,312,306,295,292,286,278,272,272,272,272,272,272,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Revenue y/y,,,,,0.06305688827964362,0.5864465682015638,0.0693365212193664,0.35586924219910854,0.13926499032882012,,,,,,,,,,,,,,,0.10213830755232034,0.06295149638802888,-0.03883495145631066,0.11858585858585857,0.01661549575582444,0.24196127198436668,0.062222857960234634,0.01831403178023172,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.030000000000000027,0.030000000000000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gross Margin,,,,,0.7969052224371374,0.7294633077765608,0.6472889882615986,0.7704109589041096,0.8222976796830787,,,,,,,,,,,,,,0.6919927206551411,0.7320949432404541,0.7520388349514563,0.7329292929292929,0.7527541990247426,0.7345887368982057,0.734086682877986,0.7586856988957716,0.7738693467336684,0.74,0.745,0.75,0.75,0.75,0.75,,Terminal,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Operating Margin,,,,,0.23339780786589298,0.20262869660460023,0.09111235326998324,0.2284931506849315,0.27164685908319186,,,,,,,,,,,,,,0.20586897179253869,0.25386996904024767,0.28019417475728153,0.2086868686868687,0.26584793209319124,0.19115295789660686,0.1876698612501788,0.21559385941287368,0.22771753504363926,0.2044530778573501,0.21985204721934343,0.23504909484615233,0.24504814154816867,0.25485303200354403,0.264467536236485,,Discount,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ROIC,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Cash,,,,,1842,95,1138,1184,538,841.104,1186.3976000000002,1311.3976000000002,,,,1380,884,,,,,,,,,,,,,1311.3976000000002,2788.3976000000002,4084.6699008000005,5528.362236806402,7126.395575100854,8851.90966339366,10710.04606508437,12706.117935830722,,NPV,28050.687573106006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cash,,,,,3719,1972,3016,3062,2416,,,,,,,3262,2766,,,,,,,,,,,,,,,,,,,,,,Share,106.17219870926463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
