Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,2020.0,2021.0,2022.0,2023.0,2024.0
,Leather,3209.0,4091.0,4963.0,5547.0,6457.0
,Ready-to-Wear,1409.0,2219.0,3152.0,3879.0,4405.0
,Silk,452.0,669.0,842.0,932.0,950.0
,Other Hermes,642.6,1001.0,1371.0,1653.0,1909.0
,Perfume,263.0,385.0,448.0,492.0,535.0
,Watches,196.0,337.0,519.0,611.0,577.0
,Other,218.0,279.0,306.0,313.0,337.0
,Revenue,6389.6,8981.0,11601.0,13427.0,15170.0
,COGS,2013.0,2580.0,3389.0,3720.0,4511.0
,Gross Profit,4376.6,6401.0,8212.0,9707.0,10659.0
,S&M,1699.0,2137.0,2680.0,3169.0,3569.0
,Operating Income,2677.6000000000004,4264.0,5532.0,6538.0,7090.0
,Interest Income,-610.0,-830.0,-898.0,-699.0,-659.0
,Pretax Income,2067.6000000000004,3434.0,4634.0,5839.0,6431.0
,Taxes,601.0,989.0,1268.0,1530.0,1829.0
,Net Income,1466.6000000000004,2445.0,3366.0,4309.0,4602.0
,,,,,,
,Revenue y/y,,0.40556529360210325,0.2917269791782653,0.15740022411861054,0.12981306323080366
,Revenue y/y CC,,0.418,0.234,0.206,0.147
,,,,,,
,CFFO,1642.0,3405.0,4184.0,4328.0,5139.0
,CX,448.0,532.0,518.0,859.0,1067.0
,FCF,1194.0,2873.0,3666.0,3469.0,4072.0
,,,,,,
,,,,,,0.17382530988757572
,,,,,,
,,,,,,
,Employees,,,,,23242.0
