Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,Q124,Q224,Q324,Q424,Q125,Q225,Q325,Q425,,2023.0,2024.0
,Revenue,0,2264,9300,13800,21800,29800,,,,0.0,25384.0
,COGS,0,88,806,724,2180,2980,,,,,
,Gross Profit,0,2176,8494,13076,19620,26820,,,,,
,R&D,31160,30334,57850,17910,16410,14910,,,,,
,SG&A,14929,21089,12955,14415,14415,14415,,,,,
,Operating Expenses,46089,51423,70805,32325,30825,29325,,,,,
,Operating Income,-46089,-49247,-62311,-19249,-11205,-2505,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Cash,,,106869,69349,,,,,,,
,AR,,,8154,10906,,,,,,,
,Prepaid,,,9011,20426,,,,,,,
,Inventory,,,27067,25907,,,,,,,
,PP&E,,,1640,1508,,,,,,,
,Lease,,,1729,1385,,,,,,,
,ONCA,,,7452,34,,,,,,,
,Assets,,,161922,129515,,,,,,,
,,,,,,,,,,,,
,AP,,,17707,10448,,,,,,,
,Accrued,,,59401,50197,,,,,,,
,Lease,,,1414,1304,,,,,,,
,OCL,,,239,27,,,,,,,
,SE,,,83161,67539,,,,,,,
,L+SE,,,161922,129515,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,-37520,,,,,,,
