Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,Brand,Indication,MOA,Approved,Economics,IP,,,,Price,113,
,Ingrezza (valbenazine),TD,VMAT2,2017-04-11 00:00:00,Mitsubishi Tanabe in Japan,,,,,Shares,103,Q424
,Orilissa (elagolix),Endometriosis,,,,,,,,MC,11639,
,Crenessity (crinecerfont),CAH,CRF1 antagonist,12/29/24 PDUFA,,,,,,Cash,1940,Q424
,Ongentys (opicapone),Parkinson's,,,,,,,,Debt,0,Q424
,,,,Phase,,,,,,EV,9699,
,osavampator,MDD,AMPA,III starting,TAK,,,,,,,
,NBI-1117568,Schizophrenia,M4 agonist,III starting,Sosei,,,,,CEO,Kyle Gano succeeding Kevin Gorman,
,NBI-1070770,MDD,NMDA NR2B nam,,TAK,,,,,,,
,NBI-1076986,Movement Disorders,M4 antagonist,I,1,,,,,,,
,NBI-1065890,TD,VMAT2 inhibitor,I,,,,,,,,
,NBI-1076986,,M4 antagonist,,,,,,,,,
,NBI-1117570,Schizophrenia,mixed agonist,I,,,,,,,,
,NBI-1117567,Schizophrenia,M1 preferring agonist,I,,,,,,,,
,NBI-1117569,Schizophrenia,M4 preferring agonist,I,,,,,,,,
,,Parkinson's,GBA1 gene therapy,PC,VYGR,,,,,,,
,NBI-921355,Epilepsy,Nav1.2/Nav1.6,I,,,,,,,,
,NBI-921352,Epilepsy,Nav1.6,II,XENE,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,"12/6/22: NBI-827104 ""STEAMBOAT"" study fails",,,,,,,
,,,,,acquired Nxera?,,,,,,,
,,,,,"terminated luvadaxistat, NBI-1065846, NBI-827104",,,,,,,
,,,,,NBI-1065846,MDD,GPR139 agonist,II,TAK,,,
,,,,,NBI-827104,Epilepsy,T-type Ca channel blocker,II,IDIA,,,
,,,,,luvadaxistat,,DAAO inhibitor,,,,,
