Main,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,2023-04-29 00:00:00,2023-07-29 00:00:00,2024-05-04 00:00:00,2024-08-03 00:00:00,,,,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0
,Sales,4982,5130,4846,4937,,,,24460.0,24442.0,23092.0,,,,
,Other,191,150,154,159,,,,939.0,1007.0,774.0,,,,
,Revenue,5173,5280,5000,5096,,,,25399.0,25449.0,23866.0,,,,
,COGS,2988,3176,2946,2938,,,,14956.0,15306.0,14143.0,,,,
,Gross Profit,2185,2104,2054,2158,,,,10443.0,10143.0,9723.0,,,,
,SG&A,1950,1980,1911,1973,,,,8154.0,8461.0,8375.0,,,,
,Operating Margin,235,124,143,185,,,,2289.0,1682.0,1348.0,,,,
,Interest,-37,-36,-31,-31,,,,-255.0,-162.0,-135.0,,,,
,Pretax,198,88,112,154,,,,2034.0,1520.0,1213.0,,,,
,Taxes,56,-8,36,45,,,,436.0,341.0,19.0,,,,
,Net Income,142,96,76,109,,,,1598.0,1179.0,1194.0,,,,
,EPS,0.5111591072714182,,0.2704626334519573,,,,,,,,,,,
,Shares,277.8,,281,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Revenue y/y,,,,,,,,,0.0019685814402141677,-0.06220283704664231,,,,
,Gross Margin,,,,,,,,0.41115791960313397,0.3985618295414358,0.4073996480348613,,,,
,,,,,,,,,,,,,,,
,CFFO,105,,129,,,,,2712.0,1615.0,1305.0,,,,
,CapEx,-215,,-154,,,,,-354.0,-888.0,-631.0,,,,
,Software,,,,,,,,-243.0,-407.0,-362.0,,,,
,FCF,-110,,-25,,,,,2115.0,320.0,312.0,,,,
