Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
£ millions,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0
- USA,,10.0,25.0,40.0,55.0,70.0
- Europe,,5.0,15.0,25.0,35.0,45.0
- RoW,,,0.0,15.0,30.0,35.0
,,,,,,
,,,,,,
GW597599,,,,,,
NK1 antagonist (PFE also developing similar drug),,,,,,
,,,,,,
"USAN filing: anti-depression, anti-anxiety, nausea/vomiting, functional dyspepsia, IBS and GERD",,,,,,
http://www.ama-assn.org/ama1/pub/upload/mm/365/vestipitant_mes.doc,,,,,,
,,,,,,
Vestipitant + paroxetine p2 studies in depression and anxiety,,,,,,
